,Ticker,FM,Tipo,Mod.,A/I/OTM,Strike,Distância % do Strike,Prêmio como % da última cotação,Último,Número de Negócios,Volume Negociado,Data/Hora,Vol. Implícita,Delta,Gamma,Theta,Vega,ativo
1,BBDCX125W2,,PUT,E,OTM,12.5,-8.49,,,,,,,,,,,BBDC4
2,BBDCL145W2,,CALL,A,OTM,14.5,6.15,,,,,,,,,,,BBDC4
3,BBDCL150W2,,CALL,A,OTM,15.0,9.81,,,,,,,,,,,BBDC4
4,BBDCL155W2,,CALL,A,OTM,15.5,13.47,,,,,,,,,,,BBDC4
0,BBDCX900W2,,PUT,E,OTM,9.0,-34.11,,,,,,,,,,,BBDC4
1,BBDCX920W2,,PUT,E,OTM,9.2,-32.65,,,,,,,,,,,BBDC4
2,BBDCX940W2,,PUT,E,OTM,9.4,-31.19,,,,,,,,,,,BBDC4
3,BBDCX960W2,,PUT,E,OTM,9.6,-29.72,,,,,,,,,,,BBDC4
4,BBDCX980W2,,PUT,E,OTM,9.8,-28.26,,,,,,,,,,,BBDC4
5,BBDCX100W2,,PUT,E,OTM,10.0,-26.79,,,,,,,,,,,BBDC4
6,BBDCX105W2,,PUT,E,OTM,10.5,-23.13,,,,,,,,,,,BBDC4
7,BBDCX110W2,,PUT,E,OTM,11.0,-19.47,,,,,,,,,,,BBDC4
8,BBDCX115W2,,PUT,E,OTM,11.5,-15.81,,,,,,,,,,,BBDC4
9,BBDCL160W2,,CALL,A,OTM,16.0,17.13,,,,,,,,,,,BBDC4
10,BBDCL165W2,,CALL,A,OTM,16.5,20.79,,,,,,,,,,,BBDC4
11,BBDCL170W2,,CALL,A,OTM,17.0,24.45,,,,,,,,,,,BBDC4
12,BBDCL175W2,,CALL,A,OTM,17.5,28.11,,,,,,,,,,,BBDC4
13,BBDCL180W2,,CALL,A,OTM,18.0,31.77,,,,,,,,,,,BBDC4
14,BBDCL185W2,,CALL,A,OTM,18.5,35.43,,,,,,,,,,,BBDC4
15,BBDCL190W2,,CALL,A,OTM,19.0,39.09,,,,,,,,,,,BBDC4
16,BBDCL195W2,,CALL,A,OTM,19.5,42.75,,,,,,,,,,,BBDC4
17,BBDCL200W2,,CALL,A,OTM,20.0,46.41,,,,,,,,,,,BBDC4
18,BBDCL205W2,,CALL,A,OTM,20.5,50.07,,,,,,,,,,,BBDC4
0,BBDCL856,,CALL,A,ITM,8.35,-38.87,50.0,6.83,1.0,31418.0,23/10/2024,,,,,,BBDC4
1,BBDCL876,,CALL,A,ITM,8.55,-37.41,,,,,,,,,,,BBDC4
2,BBDCL886,,CALL,E,ITM,8.65,-36.68,,,,,,,,,,,BBDC4
3,BBDCL896,,CALL,A,ITM,8.75,-35.94,,,,,,,,,,,BBDC4
4,BBDCL906,,CALL,E,ITM,8.85,-35.21,,,,,,,,,,,BBDC4
5,BBDCL916,,CALL,A,ITM,8.95,-34.48,,,,,,,,,,,BBDC4
6,BBDCL926,,CALL,E,ITM,9.05,-33.75,,,,,,,,,,,BBDC4
7,BBDCL936,,CALL,A,ITM,9.15,-33.02,,,,,,,,,,,BBDC4
8,BBDCL950,,CALL,E,ITM,9.25,-32.28,42.83,5.85,2.0,59085.0,19/09/2024,,,,,,BBDC4
9,BBDCL956,,CALL,A,ITM,9.35,-31.55,,,,,,,,,,,BBDC4
10,BBDCL966,,CALL,E,ITM,9.45,-30.82,,,,,,,,,,,BBDC4
11,BBDCL976,,CALL,A,ITM,9.55,-30.09,,,,,,,,,,,BBDC4
12,BBDCL986,,CALL,E,ITM,9.65,-29.36,,,,,,,,,,,BBDC4
13,BBDCL103,,CALL,A,ITM,9.75,-28.62,,,,,,,,,,,BBDC4
14,BBDCL102,,CALL,E,ITM,10.0,-26.79,29.06,3.97,1.0,397.0,07/11/2024,,,,,,BBDC4
15,BBDCL104,,CALL,A,ITM,10.25,-24.96,,,,,,,,,,,BBDC4
16,BBDCL10,,CALL,E,ITM,10.5,-23.13,24.6,3.36,2.0,8836.0,06/11/2024,,,,,,BBDC4
17,BBDCL113,,CALL,A,ITM,10.75,-21.3,34.77,4.75,5.0,2358.0,02/10/2024,,,,,,BBDC4
18,BBDCL112,,CALL,E,ITM,11.0,-19.47,31.48,4.3,1.0,430.0,15/10/2024,,,,,,BBDC4
19,BBDCL114,,CALL,A,ITM,11.25,-17.64,,,,,,,,,,,BBDC4
20,BBDCL11,,CALL,E,ITM,11.5,-15.81,20.06,2.74,1.0,5480.0,04/11/2024,,,,,,BBDC4
21,BBDCX628,,PUT,E,ITM,15.75,15.3,14.64,2.0,7.0,12030.0,07/11/2024,,,,,,BBDC4
22,BBDCX167,,PUT,E,ITM,16.0,17.13,16.03,2.19,16.0,88761.0,07/11/2024,,,,,,BBDC4
23,BBDCX175,,PUT,E,ITM,16.25,18.96,16.4,2.24,2.0,23105.0,07/11/2024,,,,,,BBDC4
24,BBDCX171,,PUT,E,ITM,16.5,20.79,19.84,2.71,5.0,44528.0,07/11/2024,,,,,,BBDC4
25,BBDCX169,,PUT,E,ITM,16.75,22.62,21.52,2.94,5.0,28540.0,07/11/2024,,,,,,BBDC4
26,BBDCX172,,PUT,E,ITM,17.0,24.45,23.43,3.2,5.0,7264.0,07/11/2024,,,,,,BBDC4
27,BBDCX174,,PUT,E,ITM,17.25,26.28,24.3,3.32,3.0,2979.0,07/11/2024,,,,,,BBDC4
28,BBDCX176,,PUT,E,ITM,17.5,28.11,24.45,3.34,4.0,135563.0,05/11/2024,,,,,,BBDC4
29,BBDCX20,,PUT,E,ITM,17.75,29.94,27.75,3.79,2.0,23856.0,07/11/2024,,,,,,BBDC4
30,BBDCX181,,PUT,E,ITM,18.0,31.77,28.04,3.83,2.0,7277.0,05/11/2024,,,,,,BBDC4
31,BBDCX184,,PUT,E,ITM,18.25,33.6,25.84,3.53,1.0,706.0,31/10/2024,,,,,,BBDC4
32,BBDCX186,,PUT,E,ITM,18.5,35.43,32.5,4.44,5.0,754820.0,07/11/2024,,,,,,BBDC4
33,BBDCX189,,PUT,E,ITM,18.75,37.26,35.14,4.8,4.0,19200.0,07/11/2024,,,,,,BBDC4
34,BBDCX191,,PUT,E,ITM,19.0,39.09,,,,,,,,,,,BBDC4
35,BBDCX194,,PUT,E,ITM,19.25,40.92,,,,,,,,,,,BBDC4
36,BBDCX196,,PUT,E,ITM,19.5,42.75,,,,,,,,,,,BBDC4
37,BBDCX199,,PUT,E,ITM,19.75,44.58,33.46,4.57,2.0,29702.0,14/10/2024,,,,,,BBDC4
38,BBDCX201,,PUT,E,ITM,20.0,46.41,38.43,5.25,1.0,31500.0,31/10/2024,,,,,,BBDC4
39,BBDCX204,,PUT,E,ITM,20.25,48.24,,,,,,,,,,,BBDC4
40,BBDCX206,,PUT,E,ITM,20.5,50.07,,,,,,,,,,,BBDC4
41,BBDCX209,,PUT,E,ITM,20.75,51.9,38.8,5.3,2.0,12720.0,16/10/2024,,,,,,BBDC4
42,BBDCX211,,PUT,E,ITM,21.0,53.73,,,,,,,,,,,BBDC4
43,BBDCX214,,PUT,E,ITM,21.25,55.56,,,,,,,,,,,BBDC4
44,BBDCX216,,PUT,E,ITM,21.5,57.39,45.53,6.22,1.0,622.0,23/10/2024,,,,,,BBDC4
45,BBDCX219,,PUT,E,ITM,21.75,59.22,47.51,6.49,1.0,3245.0,29/10/2024,,,,,,BBDC4
46,BBDCX224,,PUT,E,ITM,22.25,62.88,60.4,8.25,3.0,11603.0,06/11/2024,,,,,,BBDC4
47,BBDCX22,,PUT,E,ITM,22.5,64.71,62.15,8.49,2.0,25378.0,06/11/2024,,,,,,BBDC4
48,BBDCX229,,PUT,E,ITM,22.75,66.54,53.59,7.32,1.0,732.0,15/10/2024,,,,,,BBDC4
49,BBDCX234,,PUT,E,ITM,23.25,70.2,55.27,7.55,1.0,755.0,28/10/2024,,,,,,BBDC4
50,BBDCX239,,PUT,E,ITM,23.75,73.87,68.81,9.4,1.0,940.0,05/11/2024,,,,,,BBDC4
51,BBDCX244,,PUT,E,ITM,24.25,77.53,64.28,8.78,1.0,878.0,23/10/2024,,,,,,BBDC4
52,BBDCX249,,PUT,E,ITM,24.75,81.19,67.42,9.21,1.0,921.0,24/10/2024,,,,,,BBDC4
53,BBDCX254,,PUT,E,ITM,25.25,84.85,,,,,,,,,,,BBDC4
54,BBDCX259,,PUT,E,ITM,25.75,88.51,86.16,11.77,7.0,70550.0,07/11/2024,,,,,,BBDC4
55,BBDCX262,,PUT,E,ITM,26.0,90.34,75.26,10.28,1.0,1028.0,19/09/2024,,,,,,BBDC4
56,BBDCX264,,PUT,E,ITM,26.25,92.17,,,,,,,,,,,BBDC4
57,BBDCX269,,PUT,E,ITM,26.75,95.83,78.99,10.79,1.0,7553.0,18/10/2024,,,,,,BBDC4
58,BBDCX274,,PUT,E,ITM,27.25,99.49,95.17,13.0,1.0,1300.0,05/11/2024,,,,,,BBDC4
0,BBDCL123,,CALL,A,ITM,11.75,-13.98,16.47,2.25,1.0,10575.0,06/11/2024,,,,,,BBDC4
1,BBDCL12,,CALL,E,ITM,12.0,-12.15,13.03,1.78,7.0,24662.0,07/11/2024,,,,,,BBDC4
2,BBDCL127,,CALL,A,ITM,12.25,-10.32,11.27,1.54,13.0,48585.0,07/11/2024,,,,,,BBDC4
3,BBDCL512,,CALL,A,ITM,12.75,-6.66,8.42,1.15,16.0,24924.0,07/11/2024,,,,,,BBDC4
4,BBDCX150,✔,PUT,E,ITM,14.5,6.15,6.3,0.86,77.0,527084.0,07/11/2024,,,,,,BBDC4
5,BBDCX159,,PUT,E,ITM,14.75,7.98,7.76,1.06,41.0,311564.0,07/11/2024,,,,,,BBDC4
6,BBDCX1,,PUT,E,ITM,15.0,9.81,9.37,1.28,23.0,47569.0,07/11/2024,,,,,,BBDC4
7,BBDCX154,,PUT,E,ITM,15.25,11.64,11.13,1.52,19.0,140290.0,07/11/2024,,,,,,BBDC4
8,BBDCX157,,PUT,E,ITM,15.5,13.47,12.66,1.73,12.0,28087.0,07/11/2024,,,,,,BBDC4
0,BBDCL135,,CALL,E,ITM,13.0,-4.83,6.81,0.93,29.0,87110.0,07/11/2024,,,,,,BBDC4
1,BBDCX135,✔,PUT,E,OTM,13.0,-4.83,1.1,0.15,119.0,63368.0,07/11/2024,,,,,,BBDC4
2,BBDCL137,✔,CALL,A,ITM,13.25,-3.0,5.49,0.75,33.0,216166.0,07/11/2024,,,,,,BBDC4
3,BBDCX137,,PUT,E,OTM,13.25,-3.0,1.54,0.21,112.0,118875.0,07/11/2024,,,,,,BBDC4
4,BBDCL142,,CALL,E,ATM,13.5,-1.17,4.32,0.59,24.0,47026.0,07/11/2024,,,,,,BBDC4
5,BBDCX142,✔,PUT,E,ATM,13.5,-1.17,2.12,0.29,165.0,175176.0,07/11/2024,,,,,,BBDC4
6,BBDCL143,✔,CALL,A,ATM,13.75,0.66,3.59,0.49,194.0,383689.0,07/11/2024,,,,,,BBDC4
7,BBDCX143,,PUT,E,ATM,13.75,0.66,2.86,0.39,115.0,221817.0,07/11/2024,,,,,,BBDC4
8,BBDCL145,,CALL,E,OTM,14.0,2.49,2.42,0.33,243.0,558245.0,07/11/2024,,,,,,BBDC4
9,BBDCX145,✔,PUT,E,ITM,14.0,2.49,3.88,0.53,99.0,324570.0,07/11/2024,,,,,,BBDC4
10,BBDCL148,✔,CALL,A,OTM,14.25,4.32,1.83,0.25,161.0,362010.0,07/11/2024,,,,,,BBDC4
11,BBDCX148,,PUT,E,ITM,14.25,4.32,4.98,0.68,43.0,141176.0,07/11/2024,,,,,,BBDC4
0,BBDCX123,,PUT,E,OTM,11.75,-13.98,0.22,0.03,4.0,1890.0,07/11/2024,,,,,,BBDC4
1,BBDCX12,,PUT,E,OTM,12.0,-12.15,0.29,0.04,10.0,532.0,07/11/2024,,,,,,BBDC4
2,BBDCX127,,PUT,E,OTM,12.25,-10.32,0.37,0.05,45.0,28532.0,07/11/2024,,,,,,BBDC4
3,BBDCX512,,PUT,E,OTM,12.75,-6.66,0.81,0.11,78.0,52220.0,07/11/2024,,,,,,BBDC4
4,BBDCL150,,CALL,E,OTM,14.5,6.15,1.17,0.16,177.0,431973.0,07/11/2024,,,,,,BBDC4
5,BBDCL159,✔,CALL,A,OTM,14.75,7.98,0.88,0.12,152.0,190200.0,07/11/2024,,,,,,BBDC4
6,BBDCL1,,CALL,E,OTM,15.0,9.81,0.66,0.09,88.0,46777.0,07/11/2024,,,,,,BBDC4
7,BBDCL154,✔,CALL,A,OTM,15.25,11.64,0.44,0.06,126.0,85724.0,07/11/2024,,,,,,BBDC4
8,BBDCL157,,CALL,E,OTM,15.5,13.47,0.37,0.05,40.0,17461.0,07/11/2024,,,,,,BBDC4
0,BBDCX856,,PUT,E,OTM,8.35,-38.87,,,,,,,,,,,BBDC4
1,BBDCX876,,PUT,E,OTM,8.55,-37.41,,,,,,,,,,,BBDC4
2,BBDCX886,,PUT,E,OTM,8.65,-36.68,,,,,,,,,,,BBDC4
3,BBDCX896,,PUT,E,OTM,8.75,-35.94,,,,,,,,,,,BBDC4
4,BBDCX906,,PUT,E,OTM,8.85,-35.21,,,,,,,,,,,BBDC4
5,BBDCX916,,PUT,E,OTM,8.95,-34.48,,,,,,,,,,,BBDC4
6,BBDCX926,,PUT,E,OTM,9.05,-33.75,,,,,,,,,,,BBDC4
7,BBDCX936,,PUT,E,OTM,9.15,-33.02,,,,,,,,,,,BBDC4
8,BBDCX950,,PUT,E,OTM,9.25,-32.28,0.15,0.02,1.0,2.0,10/09/2024,,,,,,BBDC4
9,BBDCX956,,PUT,E,OTM,9.35,-31.55,0.15,0.02,1.0,2.0,10/09/2024,,,,,,BBDC4
10,BBDCX966,,PUT,E,OTM,9.45,-30.82,0.15,0.02,4.0,45.0,23/09/2024,,,,,,BBDC4
11,BBDCX976,,PUT,E,OTM,9.55,-30.09,0.15,0.02,1.0,10.0,04/11/2024,,,,,,BBDC4
12,BBDCX986,,PUT,E,OTM,9.65,-29.36,,,,,,,,,,,BBDC4
13,BBDCX103,,PUT,E,OTM,9.75,-28.62,0.15,0.02,2.0,20.0,25/09/2024,,,,,,BBDC4
14,BBDCX102,,PUT,E,OTM,10.0,-26.79,0.07,0.01,1.0,1.0,02/10/2024,,,,,,BBDC4
15,BBDCX104,,PUT,E,OTM,10.25,-24.96,0.07,0.01,1.0,20.0,06/11/2024,,,,,,BBDC4
16,BBDCX10,,PUT,E,OTM,10.5,-23.13,0.15,0.02,1.0,60.0,24/10/2024,,,,,,BBDC4
17,BBDCX113,,PUT,E,OTM,10.75,-21.3,0.07,0.01,3.0,3.0,07/11/2024,,,,,,BBDC4
18,BBDCX112,,PUT,E,OTM,11.0,-19.47,0.07,0.01,2.0,6.0,07/11/2024,,,,,,BBDC4
19,BBDCX114,,PUT,E,OTM,11.25,-17.64,0.07,0.01,1.0,4.0,07/11/2024,,,,,,BBDC4
20,BBDCX11,,PUT,E,OTM,11.5,-15.81,0.15,0.02,4.0,498.0,07/11/2024,,,,,,BBDC4
21,BBDCL628,,CALL,A,OTM,15.75,15.3,0.29,0.04,50.0,32882.0,07/11/2024,,,,,,BBDC4
22,BBDCL167,,CALL,E,OTM,16.0,17.13,0.22,0.03,21.0,1160.0,07/11/2024,,,,,,BBDC4
23,BBDCL175,,CALL,A,OTM,16.25,18.96,0.15,0.02,27.0,14674.0,07/11/2024,,,,,,BBDC4
24,BBDCL171,,CALL,E,OTM,16.5,20.79,0.15,0.02,26.0,10281.0,07/11/2024,,,,,,BBDC4
25,BBDCL169,,CALL,A,OTM,16.75,22.62,0.07,0.01,10.0,1080.0,07/11/2024,,,,,,BBDC4
26,BBDCL172,,CALL,E,OTM,17.0,24.45,0.15,0.02,2.0,52.0,07/11/2024,,,,,,BBDC4
27,BBDCL174,,CALL,A,OTM,17.25,26.28,0.07,0.01,2.0,379.0,07/11/2024,,,,,,BBDC4
28,BBDCL176,,CALL,E,OTM,17.5,28.11,0.15,0.02,2.0,212.0,05/11/2024,,,,,,BBDC4
29,BBDCL20,,CALL,A,OTM,17.75,29.94,0.15,0.02,1.0,2.0,07/11/2024,,,,,,BBDC4
30,BBDCL181,,CALL,E,OTM,18.0,31.77,0.07,0.01,2.0,51.0,07/11/2024,,,,,,BBDC4
31,BBDCL184,,CALL,A,OTM,18.25,33.6,0.07,0.01,10.0,1787.0,06/11/2024,,,,,,BBDC4
32,BBDCL186,,CALL,E,OTM,18.5,35.43,0.07,0.01,2.0,100.0,06/11/2024,,,,,,BBDC4
33,BBDCL189,,CALL,A,OTM,18.75,37.26,0.07,0.01,8.0,353.0,04/11/2024,,,,,,BBDC4
34,BBDCL191,,CALL,E,OTM,19.0,39.09,0.15,0.02,1.0,20.0,01/11/2024,,,,,,BBDC4
35,BBDCL194,,CALL,A,OTM,19.25,40.92,0.15,0.02,5.0,4174.0,30/10/2024,,,,,,BBDC4
36,BBDCL196,,CALL,E,OTM,19.5,42.75,0.15,0.02,3.0,240.0,29/10/2024,,,,,,BBDC4
37,BBDCL199,,CALL,A,OTM,19.75,44.58,0.15,0.02,1.0,100.0,29/10/2024,,,,,,BBDC4
38,BBDCL201,,CALL,E,OTM,20.0,46.41,0.15,0.02,1.0,100.0,30/10/2024,,,,,,BBDC4
39,BBDCL204,,CALL,A,OTM,20.25,48.24,0.15,0.02,1.0,100.0,24/10/2024,,,,,,BBDC4
40,BBDCL206,,CALL,E,OTM,20.5,50.07,0.15,0.02,1.0,40.0,23/10/2024,,,,,,BBDC4
41,BBDCL209,,CALL,A,OTM,20.75,51.9,0.15,0.02,1.0,100.0,17/10/2024,,,,,,BBDC4
42,BBDCL211,,CALL,E,OTM,21.0,53.73,,,,,,,,,,,BBDC4
43,BBDCL214,,CALL,A,OTM,21.25,55.56,,,,,,,,,,,BBDC4
44,BBDCL216,,CALL,E,OTM,21.5,57.39,,,,,,,,,,,BBDC4
45,BBDCL219,,CALL,A,OTM,21.75,59.22,0.07,0.01,1.0,10.0,31/10/2024,,,,,,BBDC4
46,BBDCL224,,CALL,A,OTM,22.25,62.88,,,,,,,,,,,BBDC4
47,BBDCL22,,CALL,E,OTM,22.5,64.71,,,,,,,,,,,BBDC4
48,BBDCL229,,CALL,A,OTM,22.75,66.54,,,,,,,,,,,BBDC4
49,BBDCL234,,CALL,A,OTM,23.25,70.2,,,,,,,,,,,BBDC4
50,BBDCL239,,CALL,A,OTM,23.75,73.87,,,,,,,,,,,BBDC4
51,BBDCL244,,CALL,A,OTM,24.25,77.53,,,,,,,,,,,BBDC4
52,BBDCL249,,CALL,A,OTM,24.75,81.19,,,,,,,,,,,BBDC4
53,BBDCL254,,CALL,A,OTM,25.25,84.85,,,,,,,,,,,BBDC4
54,BBDCL259,,CALL,A,OTM,25.75,88.51,,,,,,,,,,,BBDC4
55,BBDCL262,,CALL,E,OTM,26.0,90.34,0.07,0.01,1.0,10.0,26/08/2024,,,,,,BBDC4
56,BBDCL264,,CALL,A,OTM,26.25,92.17,,,,,,,,,,,BBDC4
57,BBDCL269,,CALL,A,OTM,26.75,95.83,,,,,,,,,,,BBDC4
58,BBDCL274,,CALL,A,OTM,27.25,99.49,,,,,,,,,,,BBDC4
0,BBDCA81,,CALL,A,ITM,8.19,-40.04,,,,,,,,,,,BBDC4
1,BBDCA83,,CALL,A,ITM,8.39,-38.58,,,,,,,,,,,BBDC4
2,BBDCA880,,CALL,A,ITM,8.59,-37.12,46.71,6.38,1.0,638.0,11/10/2024,,,,,,BBDC4
3,BBDCA87,,CALL,A,ITM,8.79,-35.65,,,,,,,,,,,BBDC4
4,BBDCA89,,CALL,A,ITM,8.99,-34.19,,,,,,,,,,,BBDC4
5,BBDCA940,,CALL,A,ITM,9.19,-32.72,43.27,5.91,1.0,591.0,27/09/2024,,,,,,BBDC4
6,BBDCA93,,CALL,A,ITM,9.39,-31.26,,,,,,,,,,,BBDC4
7,BBDCA95,,CALL,A,ITM,9.59,-29.8,,,,,,,,,,,BBDC4
8,BBDCA969,,CALL,A,ITM,9.69,-29.06,,,,,,,,,,,BBDC4
9,BBDCA104,,CALL,A,ITM,9.79,-28.33,39.53,5.4,1.0,540.0,03/10/2024,,,,,,BBDC4
10,BBDCA103,,CALL,A,ITM,10.29,-24.67,,,,,,,,,,,BBDC4
11,BBDCA114,,CALL,A,ITM,10.79,-21.01,33.67,4.6,3.0,1345.0,15/08/2024,,,,,,BBDC4
12,BBDCA110,,CALL,E,ITM,11.04,-19.18,,,,,,,,,,,BBDC4
13,BBDCA11,,CALL,A,ITM,11.29,-17.35,,,,,,,,,,,BBDC4
14,BBDCA116,,CALL,E,ITM,11.54,-15.52,,,,,,,,,,,BBDC4
15,BBDCM160,,PUT,E,ITM,15.79,15.59,14.06,1.92,4.0,16195.0,06/11/2024,,,,,,BBDC4
16,BBDCM162,,PUT,E,ITM,16.04,17.42,15.01,2.05,2.0,10705.0,06/11/2024,,,,,,BBDC4
17,BBDCM169,,PUT,E,ITM,16.29,19.25,17.72,2.42,2.0,3166.0,07/11/2024,,,,,,BBDC4
18,BBDCM167,,PUT,E,ITM,16.54,21.08,16.4,2.24,6.0,1288.0,04/11/2024,,,,,,BBDC4
19,BBDCM170,,PUT,E,ITM,16.79,22.91,20.13,2.75,4.0,2212.0,07/11/2024,,,,,,BBDC4
20,BBDCM172,,PUT,E,ITM,17.04,24.74,23.06,3.15,4.0,6293.0,06/11/2024,,,,,,BBDC4
21,BBDCM175,,PUT,E,ITM,17.29,26.57,20.35,2.78,2.0,558.0,01/11/2024,,,,,,BBDC4
22,BBDCM177,,PUT,E,ITM,17.54,28.4,16.84,2.3,12.0,2816.0,30/10/2024,,,,,,BBDC4
23,BBDCM18,,PUT,E,ITM,17.79,30.23,25.62,3.5,1.0,700.0,07/11/2024,,,,,,BBDC4
24,BBDCM179,,PUT,E,ITM,18.04,32.06,21.45,2.93,3.0,204680.0,25/10/2024,,,,,,BBDC4
