Papel,Nome Comercial,Razão Social
AALR3,ALLIAR,CENTRO DE IMAGEM DIAGNOSTICOS S.A.
ABCB3,ABC Brasil,BANCO ABC BRASIL S/A
ABCB4,ABC Brasil,BANCO ABC BRASIL S/A
ABEV3,AMBEV S/A,AMBEV S.A.
ABRE3,SOMOS EDUCA,SOMOS EDUCAÇÃO S.A.
ABYA3,ABYARA,ABYARA PLANEJAMENTO IMOBILIARIO S.A.
ACES3,ARCELORMITTAL INOX BRASIL,ARCELORMITTAL INOX BRASIL S.A.
ACES4,ARCELORMITTAL INOX BRASIL,ARCELORMITTAL INOX BRASIL S.A.
ADHM3,ADVANCED-DH,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.
ADMF3,CIABRASF,CIABRASF CIA BRASILEIRA DE SERVIÇOS FINANCEIROS SA
AEDU11,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A
AEDU3,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A
AELP3,AES ELPA,AES ELPA SA
AERI3,AERIS,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A
AESB3,AES BRASIL,AES BRASIL ENERGIA S.A.
AESL3,AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.,AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.
AESL4,AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.,AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.
AFLT3,AFLUENTE T,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A
AFLU3,AFLUENTE,AFLUENTE GER.E TRANSM.ENERG.ELETR. S.A.
AFLU5,AFLUENTE,AFLUENTE GER.E TRANSM.ENERG.ELETR. S.A.
AGEI3,AGRE EMP IMOB,AGRE EMPREENDIMENTOS IMOBILIÁRIOS S.A.
AGEN33,Agrenco,AGRENCO LTD.
AGIN3,Agra Incorp,AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A
AGRO3,BRASILAGRO,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS
AGXY3,AGROGALAXY,AGROGALAXY PARTICIPAÇÕES S.A.
AHEB3,PARQUE ANHEMBI,SAO PAULO TURISMO S.A.
AHEB5,PARQUE ANHEMBI,SAO PAULO TURISMO S.A.
AHEB6,PARQUE ANHEMBI,SAO PAULO TURISMO S.A.
ALBA3,DANA-ALBARUS S/A INDÚSTRIA E COMÉRCIO,DANA-ALBARUS S.A. INDÚSTRIA E COMÉRCIO
ALLD3,ALLIED,ALLIED TECNOLOGIA S.A.
ALLL11,RUMO S.A.,RUMO S.A.
ALLL3,RUMO S.A.,RUMO S.A.
ALLL4,RUMO S.A.,RUMO S.A.
ALOS3,ALLOS,ALLOS S.A.
ALPA3,ALPARGATAS,SAO PAULO ALPARGATAS SA
ALPA4,ALPARGATAS,SAO PAULO ALPARGATAS SA
ALPK3,ESTAPAR,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A
ALSC3,ALIANSCE,ALIANSCE SHOPPING CENTERS S.A.
ALSO3,ALLOS,ALLOS S.A.
ALUP11,ALUPAR,ALUPAR INVESTIMENTOS S/A
ALUP3,ALUPAR,ALUPAR INVESTIMENTOS S/A
ALUP4,ALUPAR,ALUPAR INVESTIMENTOS S/A
AMAR3,LOJAS MARISA,MARISA LOJAS S.A.
AMBP3,AMBIPAR,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A
AMBV3,AMBEV,COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV
AMBV4,AMBEV,COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV
AMER3,AMERICANAS,AMERICANAS S.A
AMIL3,AMIL,AMIL PARTICIPAÇÕES S/A
AMOB3,AUTOMOB,AUTOMOB PARTICIPAÇÕES S.A.
AMPI3,AMPLA INVEST,AMPLA INVESTIMENTOS E SERVICOS S.A.
ANIM3,ANIMA,GAEC EDUCAÇÃO S.A.
AORE3,ADVANCED-DH,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.
APER3,ALPER S.A.,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.
APTI4,ALIPERTI,SIDERURGICA J L ALIPERTI SA
ARCE3,BELGO,COMPANHIA SIDERÚRGICA BELGO-MINEIRA
ARCZ3,ARACRUZ CELULOSE SA,ARACRUZ CELULOSE S/A
ARCZ6,ARACRUZ CELULOSE SA,ARACRUZ CELULOSE S/A
ARLA3,ARTHUR LANGE,ARTHUR LANGE SA IND E COM
ARLA4,ARTHUR LANGE,ARTHUR LANGE SA IND E COM
ARML3,ARMAC,ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.
ARND3,ARANDU,ARANDU INVESTIMENTOS S.A.
ARPS3,DOUAT CIA TEXTIL,DOUAT CIA TEXTIL
ARPS4,DOUAT CIA TEXTIL,DOUAT CIA TEXTIL
ARTE3,KUALA S.A.,KUALA SA
ARTE4,KUALA S.A.,KUALA SA
ARTR3,ARTERIS,ARTERIS S.A.
ARZZ3,AZZAS 2154,AZZAS 2154 S.A.
ASAI3,ASSAI,SENDAS DISTRIBUIDORA S.A.
ASSM3,HOTEIS ELDORADO,COMPANHIA ELDORADO DE HOTEIS
ASSM4,HOTEIS ELDORADO,COMPANHIA ELDORADO DE HOTEIS
ASTA4,SANTISTA TÊXTIL S.A.,SANTISTA TEXTIL SA
ATED3,ATOM EDUC,ATOM EDUCAÇÃO E EDITORA S.A.
ATOM3,FICTORALIMEN,FICTOR ALIMENTOS S.A
AUAU3,PETZCOBASI,UNIÃO PET PARTICIPAÇÕES S.A.
AURA32,AURA 360,AURA MINERALS INC.
AURA33,AURA 360,AURA MINERALS INC.
AURE3,AUREN,AUREN ENERGIA S.A.
AUTM3,AUTOMETAL,AUTOMETAL S.A.
AVIL3,ACOS VILLARES,AÇOS VILLARES SA
AVLL3,ALPHAVILLE,ALPHAVILLE S.A.
AXIA3,AXIA ENERGIA,CENTRAIS ELET BRAS S.A. - ELETROBRAS
AXIA6,AXIA ENERGIA,CENTRAIS ELET BRAS S.A. - ELETROBRAS
AZEV3,AZEVEDO & TRAVASSOS,AZEVEDO & TRAVASSOS SA
AZEV4,AZEVEDO & TRAVASSOS,AZEVEDO & TRAVASSOS SA
AZTE3,AZT ENERGIA,AZEVEDO & TRAVASSOS ENERGIA S.A.
AZUL4,AZUL,AZUL S.A.
AZZA3,AZZAS 2154,AZZAS 2154 S.A.
B3SA3,B3,"B3 S.A. - BRASIL, BOLSA, BALCÃO"
BAHI11,BIOMA EDUC,BAHEMA EDUCAÇÃO S.A.
BAHI3,BIOMA EDUC,BAHEMA EDUCAÇÃO S.A.
BAHI4,BIOMA EDUC,BAHEMA EDUCAÇÃO S.A.
BAHI5,BIOMA EDUC,BAHEMA EDUCAÇÃO S.A.
BALM3,BAUMER,BAUMER SA
BALM4,BAUMER,BAUMER SA
BAUH4,EXCELSIOR,EXCELSIOR ALIMENTOS SA.
BAZA3,BANCO DA AMAZONIA S.A.,BANCO DA AMAZÔNIA S.A.
BBAS3,BANCO DO BRASIL S.A.,BANCO DO BRASIL S.A.
BBDC3,BANCO BRADESCO S.A.,BANCO BRADESCO SA
BBDC4,BANCO BRADESCO S.A.,BANCO BRADESCO SA
BBRK3,NEXPE,NEXPE PARTICIPAÇÕES S.A
BBSE3,BBSEGURIDADE,BB SEGURIDADE PARTICIPAÇÕES S.A.
BBTG11,BTG PACTUAL UNITS,Units BTG PACTUAL
BBTG12,BTG PACTUAL,BTG PACTUAL PARTICIPATIONS. LTD.
BBTG13,BTG PACTUAL,BTG PACTUAL PARTICIPATIONS. LTD.
BCAL6,PRO METALURG,PRÓ METALURGIA S.A.
BDLL3,BARDELLA,BARDELLA SA INDS MECANICAS
BDLL4,BARDELLA,BARDELLA SA INDS MECANICAS
BECE3,BEC,BANCO DO ESTADO DO CEARA S/A BEC
BECE4,BEC,BANCO DO ESTADO DO CEARA S/A BEC
BEEF3,Minerva,MINERVA S/A
BEES3,BANESTES S/A,BANESTES SA BANCO ESTADO ESPIRITO SANTO
BEES4,BANESTES S/A,BANESTES SA BANCO ESTADO ESPIRITO SANTO
BELG3,BELGO,COMPANHIA SIDERÚRGICA BELGO-MINEIRA
BELG4,BELGO,COMPANHIA SIDERÚRGICA BELGO-MINEIRA
BEMA3,Bematech,BEMATECH IND COM EQUIP ELETRONICOS SA
BERG3,BERGAMO,BERGAMO CIA INDUSTRIAL
BESP3,BANESPA,BANCO DO ESTADO DE SAO PAULO S.A. - BANESPA
BESP4,BANESPA,BANCO DO ESTADO DE SAO PAULO S.A. - BANESPA
BFIT3,BANCO SUDAMERIS BRASIL SA,BANCO SUDAMERIS BRASIL SA
BFIT4,BANCO SUDAMERIS BRASIL SA,BANCO SUDAMERIS BRASIL SA
BGIP3,BANESE,BANCO ESTADO SERGIPE SA
BGIP4,BANESE,BANCO ESTADO SERGIPE SA
BHGR3,BHG,BHG S.A. - BRAZIL HOSPITALITY GROUP
BHIA3,CASAS BAHIA,GRUPO CASAS BAHIA S.A.
BICB3,BicBanco,BANCO INDUSTRIAL E COMERCIAL S/A
BICB4,BicBanco,BANCO INDUSTRIAL E COMERCIAL S/A
BIDI11,BANCO INTER,BANCO INTER S.A.
BIDI3,BANCO INTER,BANCO INTER S.A.
BIDI4,BANCO INTER,BANCO INTER S.A.
BIED3,BIOMA EDUC,BAHEMA EDUCAÇÃO S.A.
BIOM3,BIOMM SA,BIOMM SA
BIOM4,BIOMM SA,BIOMM SA
BISA3,BROOKFIELD INCORPORACOES,BROOKFIELD INCORPORACOES S.A.
BKBR3,ZAMP S.A.,ZAMP S.A.
BLAU3,BLAU,BLAU FARMACÊUTICA S.A.
BLUT3,B TECH EQI,BLUE TECH SOLUTIONS E.Q.I. S
BLUT4,B TECH EQI,BLUE TECH SOLUTIONS E.Q.I. S
BMEB3,BANCO MERCANTIL DO BRASIL S/A,BANCO MERCANTIL BRASIL SA
BMEB4,BANCO MERCANTIL DO BRASIL S/A,BANCO MERCANTIL BRASIL SA
BMEF3,BMF,BOLSA DE MERCADORIAS & FUTUROS - BM&F S/A
BMGB11,BANCO BMG,BANCO BMG S.A.
BMGB4,BANCO BMG,BANCO BMG S.A.
BMIN3,BANCO MERCANTIL DE INVESTIMENTOS SA,BCO MERCANTIL INVS SA
BMIN4,BANCO MERCANTIL DE INVESTIMENTOS SA,BCO MERCANTIL INVS SA
BMKS3,MONARK,BICICLETAS MONARK SA
BMOB3,BEMOBI TECH,BEMOBI MOBILE TECH S.A.
BMTO3,BRASMOTOR S.A,BRASMOTOR SA
BMTO4,BRASMOTOR S.A,BRASMOTOR SA
BNBR3,BANCO DO NORDESTE,BANCO DO NORDESTE DO BRASIL SA
BNBR4,BANCO DO NORDESTE,BANCO DO NORDESTE DO BRASIL SA
BNCA3,NOSSA CAIXA-NOSSO BANCO,BANCO NOSSA CAIXA S.A.
BOAS3,BOA VISTA,BOA VISTA SERVIÇOS S.A.
BOBR3,BOMBRIL SA,BOMBRIL SA
BOBR4,BOMBRIL SA,BOMBRIL SA
BOVH3,Bovespa Hld,BOVESPA HOLDING SA
BPAC11,BTGP BANCO,BCO BTG PACTUAL S.A.
BPAC3,BTGP BANCO,BCO BTG PACTUAL S.A.
BPAC5,BTGP BANCO,BCO BTG PACTUAL S.A.
BPAN4,BANCO PAN,BCO PAN S.A.
BPAR3,BANPARÁ S.A.,BANCO ESTADO PARA SA
BPAT33,Patagonia,BANCO PATAGONIA SA
BPHA3,BRAZIL PHARMA S.A.,BR PHARMA
BPIA3,BEP,BANCO DO ESTADO DO PIAUÍ S.A.
BPNM3,BANCO PAN,BCO PAN S.A.
BPNM4,BANCO PAN,BCO PAN S.A.
BRAP3,BRADESPAR S/A,BRADESPAR S/A
BRAP4,BRADESPAR S/A,BRADESPAR S/A
BRAV3,BRAVA,3R PETROLEUM ÓLEO E GÁS S.A
BRBI11,BR PARTNERS,BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.
BRDT3,VIBRA,VIBRA ENERGIA S.A.
BRFS3,BRF Foods,BRF Foods
BRGE11,CONSORCIO ALFA,CONSORCIO ALFA DE ADMINISTRAÇÃO SA
BRGE12,CONSORCIO ALFA,CONSORCIO ALFA DE ADMINISTRAÇÃO SA
BRGE3,CONSORCIO ALFA,CONSORCIO ALFA DE ADMINISTRAÇÃO SA
BRGE5,CONSORCIO ALFA,CONSORCIO ALFA DE ADMINISTRAÇÃO SA
BRGE6,CONSORCIO ALFA,CONSORCIO ALFA DE ADMINISTRAÇÃO SA
BRGE7,CONSORCIO ALFA,CONSORCIO ALFA DE ADMINISTRAÇÃO SA
BRGE8,CONSORCIO ALFA,CONSORCIO ALFA DE ADMINISTRAÇÃO SA
BRIN3,ALPER S.A.,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.
BRIT3,BRISANET,BRISANET PARTICIPAÇÕES S.A.
BRIV3,ALFA DE INVESTIMENTO,BANCO ALFA DE INVESTIMENTO SA
BRIV4,ALFA DE INVESTIMENTO,BANCO ALFA DE INVESTIMENTO SA
BRKM3,BRASKEM,BRASKEM S.A.
BRKM5,BRASKEM,BRASKEM S.A.
BRKM6,BRASKEM,BRASKEM S.A.
BRML3,BR MALLS PARTICIPAÇÔES S/A,BR MALLS PARTICIPACOES S.A.
BRPR3,BR PROPERTIES,BR PROPERTIES S.A.
BRSR3,BANRISUL S/A,BANCO DO ESTADO DO RIO GRANDE DO SUL SA
BRSR4,BANRISUL S/A,BANCO DO ESTADO DO RIO GRANDE DO SUL SA
BRSR5,BANRISUL S/A,BANCO DO ESTADO DO RIO GRANDE DO SUL SA
BRSR6,BANRISUL S/A,BANCO DO ESTADO DO RIO GRANDE DO SUL SA
BRST3,BRISANET,BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.
BRTP3,BRASIL TELECOM PARTICIPAÇÕES S.A.,BRASIL TELECOM PARTICIPAÇÕES SA
BRTP4,BRASIL TELECOM PARTICIPAÇÕES S.A.,BRASIL TELECOM PARTICIPAÇÕES SA
BSCT3,BESC S.A.,BANCO DO ESTADO DE SANTA CATARINA SA
BSCT5,BESC S.A.,BANCO DO ESTADO DE SANTA CATARINA SA
BSCT6,BESC S.A.,BANCO DO ESTADO DE SANTA CATARINA SA
BSEV3,BIOSEV,BIOSEV S.A.
BSGR3,AGF BRASIL SEGUROS,AGF BRASIL SEGUROS SA
BSLI3,BRB,BRB-BANCO DE BRASILIA SA
BSLI4,BRB,BRB-BANCO DE BRASILIA SA
BTOW3,AMERICANAS,AMERICANAS S.A
BUET3,BUETTNER S/A - INDUSTRIA E COMERCIO,BUETTNER SA IND E COMERCIO
BUET4,BUETTNER S/A - INDUSTRIA E COMERCIO,BUETTNER SA IND E COMERCIO
BVMF3,B3,"B3 S.A. - BRASIL, BOLSA, BALCÃO"
CAFE3,CAFE SOLUVEL BRASILIA S/A,CAFE SOLUVEL BRASILIA SA
CAFE4,CAFE SOLUVEL BRASILIA S/A,CAFE SOLUVEL BRASILIA SA
CALI3,CAL S/A,CONST ADOLPHO LINDENBERG SA
CALI4,CAL S/A,CONST ADOLPHO LINDENBERG SA
CAMB3,PENALTY,CAMBUCI SA
CAMB4,PENALTY,CAMBUCI SA
CAML3,CAMIL,CAMIL ALIMENTOS S.A.
CARD3,CSU DIGITAL,CSU DIGITAL S.A.
CASH3,MELIUZ,MÉLIUZ S.A.
CASN3,CASAN,CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN
CBAV3,CBA,Companhia Brasileira de Alumínio
CBEE3,AMPLA ENERG,AMPLA ENERGIA E SERVICOS S.A.
CBMA3,COBRASMA S/A,COBRASMA SA
CBMA4,COBRASMA S/A,COBRASMA SA
CCHI3,CHIARELLI,CERAMICA CHIARELLI SA
CCHI4,CHIARELLI,CERAMICA CHIARELLI SA
CCIM3,CC DES IMOB,CAMARGO CORREA DESENV. IMOBILIARIO S.A.
CCPR3,SYN PROP TEC,SYN prop e tech S.A.
CCRO3,MOTIVA SA,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.
CCTU4,COMPANHIA BRASILEIRA DE CARTUCHOS - CBC,COMPANHIA BRASILEIRA DE CARTUCHOS - CBC
CCTY3,RDVC CITY,RDVC CITY S.A.
CCXC3,CCX CARVAO,CCX CARVÃO DA COLÔMBIA S.A.
CEAB3,CEA MODAS,CEA MODAS S.A.
CEBR3,CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB
CEBR5,CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB
CEBR6,CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB
CEDO3,CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA
CEDO4,CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA
CEEB3,COELBA,CIA ELETRICIDADE DA BAHIA
CEEB5,COELBA,CIA ELETRICIDADE DA BAHIA
CEED3,CEEE-D,CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D
CEED4,CEEE-D,CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D
CEGR3,CEG,CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO
CELM3,CELM CIA EQUIP. DE LABORATORIOS MODERNOS,CELM CIA EQUIP LABS MODERNOS
CELP5,EQTL PARA,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.
CELP7,EQTL PARA,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.
CEPE3,CELPE,CIA ENERGÉTICA DE PERNAMBUCO - CELPE
CEPE5,CELPE,CIA ENERGÉTICA DE PERNAMBUCO - CELPE
CEPE6,CELPE,CIA ENERGÉTICA DE PERNAMBUCO - CELPE
CESP3,CESP CIA ENERGETICA SAO PAULO,CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO
CESP4,CESP CIA ENERGETICA SAO PAULO,CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO
CESP5,CESP CIA ENERGETICA SAO PAULO,CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO
CESP6,CESP CIA ENERGETICA SAO PAULO,CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO
CFLU4,COCA COLA,COMPANHIA FLUMINENSE DE REFRIGERANTES
CGAS3,COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS
CGAS5,COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS
CGOS3,CELG,COMPANHIA ENERGÉTICA DE GOIÁS - CELG
CGOS4,CELG,COMPANHIA ENERGÉTICA DE GOIÁS - CELG
CGRA3,GRAZZIOTIN,GRAZZIOTIN SA
CGRA4,GRAZZIOTIN,GRAZZIOTIN SA
CIEL3,CIELO,CIELO S.A.
CIQU3,CACIQUE,CIA CACIQUE CAFE SOLUVEL
CIQU4,CACIQUE,CIA CACIQUE CAFE SOLUVEL
CLAN3,CLARION,CLARION S.A. AGROINDUSTRIAL
CLAN4,CLARION,CLARION S.A. AGROINDUSTRIAL
CLSA3,CLEARSALE,CLEAR SALE S.A.
CLSC3,CELESC,CENTRAIS ELETRICAS DE SANTA CATARINA S.A
CLSC4,CELESC,CENTRAIS ELETRICAS DE SANTA CATARINA S.A
CLSC5,CELESC,CENTRAIS ELETRICAS DE SANTA CATARINA S.A
CLSC6,CELESC,CENTRAIS ELETRICAS DE SANTA CATARINA S.A
CMET4,CAEMI,CAEMI MINERAÇÃO E METALURGIA S.A.
CMIG3,CEMIG,CIA ENERG MINAS GERAIS - CEMIG
CMIG4,CEMIG,CIA ENERG MINAS GERAIS - CEMIG
CMIN3,CSNMINERACAO,CSN MINERAÇÃO S.A.
CMMA4,CMA PARTICIPACOES SA,CMA PARTICIPAÇÕES SA
CNFB4,CONFAB,CONFAB INDUSTRIAL SA
CNTO3,GRUPO SBF,GRUPO SBF SA
COCE3,CIA ENERG CEARA - COELCE,CIA ENERG CEARA - COELCE
COCE5,CIA ENERG CEARA - COELCE,CIA ENERG CEARA - COELCE
COCE6,CIA ENERG CEARA - COELCE,CIA ENERG CEARA - COELCE
COGN3,COGNA,KROTON EDUCACIONAL S.A.
CORR3,CORREA RIBEIRO SA COM. IND.,CORREA RIBEIRO SA COM IND
CORR4,CORREA RIBEIRO SA COM. IND.,CORREA RIBEIRO SA COM IND
CPFE3,CPFL ENERGIA S.A.,CPFL ENERGIA SA
CPFG3,CPFL GERAÇÂO DE ENERGIA S/A,CPFL GERAÇÃO DE ENERGIA S/A
CPFG4,CPFL GERAÇÂO DE ENERGIA S/A,CPFL GERAÇÃO DE ENERGIA S/A
CPFP4,CPFL - PIRATININGA,CIA PIRATININGA DE FORÇA E LUZ
CPLE11,COPEL,COMPANHIA PARANAENSE DE ENERGIA
CPLE3,COPEL,COMPANHIA PARANAENSE DE ENERGIA
CPLE5,COPEL,COMPANHIA PARANAENSE DE ENERGIA
CPLE6,COPEL,COMPANHIA PARANAENSE DE ENERGIA
CPNY3,COMPANY S/A,COMPANY SA
CPRE3,CPFL RENOVAV,CPFL ENERGIAS RENOVÁVEIS S.A.
CPSL3,COPESUL,COPESUL - COMPANHIA PETROQUÍMICA DO SUL
CRBM3,CARAÍBA METAIS S.A,CARAIBA METAIS SA
CRBM7,CARAÍBA METAIS S.A,CARAIBA METAIS SA
CRDE3,FICA,FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A
CREM3,CREMER S.A.,CREMER SA
CREM4,CREMER S.A.,CREMER SA
CRFB3,CARREFOUR BR,ATACADÃO S.A.
CRIV3,ALFA FINANCEIRA,FINANCEIRA ALFA S.A.- C.F.I
CRIV4,ALFA FINANCEIRA,FINANCEIRA ALFA S.A.- C.F.I
CRPG3,CRISTAL,TRONOX PIGMENTOS DO BRASIL S.A.
CRPG5,CRISTAL,TRONOX PIGMENTOS DO BRASIL S.A.
CRPG6,CRISTAL,TRONOX PIGMENTOS DO BRASIL S.A.
CRTP3,CELULAR CRT PARTICIPAÇÕES S/A,CELULAR CRT PARTICIPAÇÕES S.A.
CRTP5,CELULAR CRT PARTICIPAÇÕES S/A,CELULAR CRT PARTICIPAÇÕES S.A.
CRUZ3,SOUZA CRUZ,SOUZA CRUZ SA
CSAB3,COMPANHIA DE SEGUROS ALIANÇA DA BAHIA,CIA SEGUROS ALIANCA BAHIA
CSAB4,COMPANHIA DE SEGUROS ALIANÇA DA BAHIA,CIA SEGUROS ALIANCA BAHIA
CSAN3,COSAN SA INDUSTRIA E COMERCIO,COSAN SA INDUSTRIA E COMERCIO
CSED3,CRUZEIRO EDU,CRUZEIRO DO SUL EDUCACIONAL S.A.
CSMG3,COPASA MG,COMPANHIA DE SANEAMENTO DE MINAS GERAIS
CSNA3,CSN,CIA SIDERURGICA NACIONAL
CSPC3,COSIPA,COMPANHIA SIDERÚRGICA PAULISTA - COSIPA
CSPC4,COSIPA,COMPANHIA SIDERÚRGICA PAULISTA - COSIPA
CSRN3,COSERN,CIA ENERGÉTICA DO RIO GRANDE DO NORTE
CSRN5,COSERN,CIA ENERGÉTICA DO RIO GRANDE DO NORTE
CSRN6,COSERN,CIA ENERGÉTICA DO RIO GRANDE DO NORTE
CSTB3,COMPANHIA SIDERÚRGICA DE TUBARÃO,COMPANHIA SIDERÚRGICA DE TUBARÃO
CSTB4,COMPANHIA SIDERÚRGICA DE TUBARÃO,COMPANHIA SIDERÚRGICA DE TUBARÃO
CSUD3,CSU DIGITAL,CSU DIGITAL S.A.
CTAX3,CONTAX,CONTAX PARTICIPAÇÕES S.A
CTIP3,CETIP,CETIP S.A. - BALCÃO ORGANIZADO DE ATIVOS
CTKA3,KARSTEN,KARSTEN SA
CTKA4,KARSTEN,KARSTEN SA
CTNM3,COTEMINAS,CIA TECIDOS NORTE DE MINAS - COTEMINAS
CTNM4,COTEMINAS,CIA TECIDOS NORTE DE MINAS - COTEMINAS
CTPC3,CTM CITRUS SA,CTM CITRUS SA
CTPC4,CTM CITRUS SA,CTM CITRUS SA
CTSA3,SANTANENSE,CIA TECIDOS SANTANENSE
CTSA4,SANTANENSE,CIA TECIDOS SANTANENSE
CTSA8,SANTANENSE,CIA TECIDOS SANTANENSE
CTWR3,BLUE TREE HOTELS,BLUE TREE HOTELS & RESORTS DO BRASIL SA
CURY3,CURY S/A,CURY CONSTRUTORA E INCORPORADORA S.A.
CVCB3,CVC BRASIL,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.
CXSE3,CAIXA SEGURI,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.
CYRE3,CYRELA BRAZIL REALTY,CYRELA BRAZIL REALTY S.A. EMPREEN E PART
CYRE4,CYRELA BRAZIL REALTY,CYRELA BRAZIL REALTY S.A. EMPREEN E PART
CZLT33,Cosan Ltd,COSAN LIMITED
CZRS3,Cruzeiro Sul,BANCO CRUZEIRO DO SUL SA
CZRS4,Cruzeiro Sul,BANCO CRUZEIRO DO SUL SA
DAGB33,DUFRY AG,DUFRY A.G.
DASA3,DIAGNOSTICOS DA AMERICA SA,DIAGNOSTICOS DA AMERICA SA
DAYC3,Daycoval,BANCO DAYCOVAL S.A.
DAYC4,Daycoval,BANCO DAYCOVAL S.A.
DESK3,DESKTOPSIGMA,DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA S.A.
DEXP3,DEXXOS PAR,DEXXOS PARTICIPACOES S.A.
