Papel,Nome Comercial,Razão Social
DEXP4,DEXXOS PAR,DEXXOS PARTICIPACOES S.A.
DFVA3,D F VASCONCELLOS S/A O.M.A.P.,D F VASCONC SA OPT MEC A PREC
DFVA4,D F VASCONCELLOS S/A O.M.A.P.,D F VASCONC SA OPT MEC A PREC
DHBI3,DHB,DHB IND E COMERCIO SA
DHBI4,DHB,DHB IND E COMERCIO SA
DIRR3,Direcional Engenharia,DIRECIONAL ENGENHARIA S.A.
DJON4,DIJON S/A,DIJON SA
DMFN3,DMFINANCEIRA,DM FINANCEIRA S.A.
DMMO3,DOMMO,DOMMO ENERGIA S.A.
DMVF3,D1000VFARMA,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.
DOCA3,DOCAS S.A.,DOCAS INVESTIMENTOS SA
DOCA4,DOCAS S.A.,DOCAS INVESTIMENTOS SA
DOHL3,DOHLER,DOHLER S.A.
DOHL4,DOHLER,DOHLER S.A.
DOTZ3,DOTZ SA,DOTZ S.A.
DPPI3,IPIRANGA DISTRIBUIDORA,DISTRIB PRODUTOS PETROLEO IPIRANGA S.A.
DPPI4,IPIRANGA DISTRIBUIDORA,DISTRIB PRODUTOS PETROLEO IPIRANGA S.A.
DSUL3,DATASUL,DATASUL S.A.
DTCY3,DTCOM,DTCOM - DIRECT TO COMPANY S.A.
DTEX3,DEXCO,DEXCO S.A.
DUFB11,DUFRY SOUTH AMERICA LTD.,DUFRY SOUTH AMERICA LTD.
DUQE3,METALURGICA DUQUE SA,METALURGICA DUQUE SA
DUQE4,METALURGICA DUQUE SA,METALURGICA DUQUE SA
DURA3,DURATEX,DURATEX SA
DURA4,DURATEX,DURATEX SA
DXCO3,DEXCO,DEXCO S.A.
DXTG4,DIXIE TOGA,DIXIE TOGA SA
EALT3,ELECTRO AÇO ALTONA S/A,ELECTRO AÇO ALTONA S/A
EALT4,ELECTRO AÇO ALTONA S/A,ELECTRO AÇO ALTONA S/A
EBCO3,EMBRACO,EMP BRAS COMPRES SA - EMBRACO
EBCO4,EMBRACO,EMP BRAS COMPRES SA - EMBRACO
EBEN4,BANDEIRANTE,BANDEIRANTE ENERGIA S/A
EBTP3,EMBRATEL PARTICIPAÇÕES SA,EMBRATEL PARTICIPAÇÕES SA
EBTP4,EMBRATEL PARTICIPAÇÕES SA,EMBRATEL PARTICIPAÇÕES SA
ECIS3,ECISA,ECISA ENG COM E INDUSTRIA SA
ECIS4,ECISA,ECISA ENG COM E INDUSTRIA SA
ECOR3,ECORODOVIAS,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.
ECPR3,ENCORPAR,"EMP.NAC.C., RÉDITO E PART. S.A. ENCORPAR"
ECPR4,ENCORPAR,"EMP.NAC.C., RÉDITO E PART. S.A. ENCORPAR"
EEEL3,CEEE,CIA ESTADUAL ENERG ELETR-CEEE
EEEL4,CEEE,CIA ESTADUAL ENERG ELETR-CEEE
EGIE3,ENGIE BRASIL,ENGIE BRASIL ENERGIA S.A.
EKTR3,ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,ELEKTRO ELETRICIDADE E SERVIÇOS S.A.
EKTR4,ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,ELEKTRO ELETRICIDADE E SERVIÇOS S.A.
ELCA3,REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.
ELCA4,REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.
ELEK3,ELEKEIROZ S/A,ELEKEIROZ S/A
ELEK4,ELEKEIROZ S/A,ELEKEIROZ S/A
ELET5,AXIA ENERGIA,CENTRAIS ELET BRAS S.A. - ELETROBRAS
ELEV3,ELEVA,ELEVA ALIMENTOS S/A
ELMD3,ELETROMIDIA,ELETROMIDIA S.A.
ELPL3,AES ELETROPAULO,ELETROPAULO METROPOLITANA EL.S.PAULO S.A
ELPL4,AES ELETROPAULO,ELETROPAULO METROPOLITANA EL.S.PAULO S.A
ELPL5,AES ELETROPAULO,ELETROPAULO METROPOLITANA EL.S.PAULO S.A
ELPL6,AES ELETROPAULO,ELETROPAULO METROPOLITANA EL.S.PAULO S.A
ELUM3,ELUMA,ELUMA SA INDUSTRIA E COMERCIO
ELUM4,ELUMA,ELUMA SA INDUSTRIA E COMERCIO
EMAE4,EMAE,EMAE-EMP.METROPOLITANA ÁGUAS ENERGIA S.A
EMBJ3,EMBRAER,EMBRAER S.A.
ENAT3,ENAUTA PART,ENAUTA PARTICIPAÇÕES S.A.
ENBR3,EDP ENERGIAS DO BRASIL S/A,EDP ENERGIAS DO BRASIL S/A
ENER3,ENERSUL,EMPRESA ENERGÉTICA DE M.S. S.A.
ENER5,ENERSUL,EMPRESA ENERGÉTICA DE M.S. S.A.
ENER6,ENERSUL,EMPRESA ENERGÉTICA DE M.S. S.A.
ENEV3,ENEVA,ENEVA S.A
ENGI11,ENERGISA,ENERGISA SA
ENGI3,ENERGISA,ENERGISA SA
ENGI4,ENERGISA,ENERGISA SA
ENJU3,ENJOEI,ENJOEI.COM.BR ATIVIDADES DE INTERNET S.A.
ENMT3,ENERGISA MT,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A
ENMT4,ENERGISA MT,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A
EPAR3,EMBPAR S/A,EMBPAR PARTICIPACOES S.A.
EPAR4,EMBPAR S/A,EMBPAR PARTICIPACOES S.A.
EQMA3B,CEMAR,COMPANHIA ENERGÉTICA DO MARANHÃO CEMAR
EQMA5B,CEMAR,COMPANHIA ENERGÉTICA DO MARANHÃO CEMAR
EQMA6B,CEMAR,COMPANHIA ENERGÉTICA DO MARANHÃO CEMAR
EQPA3,EQTL PARA,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.
EQPA5,EQTL PARA,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.
EQPA6,EQTL PARA,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.
EQPA7,EQTL PARA,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.
EQTL3,EQUATORIAL ENERGIA S.A.,EQUATORIAL ENERGIA S.A.
ESCE3,ESCELSA,ESPIRITO SANTO CENTRAIS ELETRICAS SA
ESPA3,ESPACOLASER,MPM CORPÓREOS S.A.
ESTC11,YDUQS PART,ESTACIO PARTICIPACOES S.A.
ESTC3,YDUQS PART,ESTACIO PARTICIPACOES S.A.
ESTC4,YDUQS PART,ESTACIO PARTICIPACOES S.A.
ESTR3,ESTRELA,MANUFATURA DE BRINQUEDOS ESTRELA SA
ESTR4,ESTRELA,MANUFATURA DE BRINQUEDOS ESTRELA SA
ETER3,ETERNIT,ETERNIT SA
ETER4,ETERNIT,ETERNIT SA
EUCA3,EUCATEX,EUCATEX SA IND E COMERCIO
EUCA4,EUCATEX,EUCATEX SA IND E COMERCIO
EVEN3,Even,EVEN CONSTRUTORA E INCORPORADORA S/A
EZTC3,EZTec,EZ TEC EMPREEND. E PARTICIPAÇÕES S/A
FBMC3,FIBAM,FIBAM CIA INDUSTRIAL
FBMC4,FIBAM,FIBAM CIA INDUSTRIAL
FBRA4,FERTIBRÁS S/A,FERTIBRAS SA
FCAP3,FICAP,SAM INDUSTRIAS SA
FCAP4,FICAP,SAM INDUSTRIAS SA
FESA3,FERBASA,CIA FERRO LIGAS BAHIA FERBASA
FESA4,FERBASA,CIA FERRO LIGAS BAHIA FERBASA
FFTL3,FOSFERTIL,FERTILIZANTES FOSFATADOS S.A. FOSFERTIL
FFTL4,FOSFERTIL,FERTILIZANTES FOSFATADOS S.A. FOSFERTIL
FGUI3,FERREIRA GUIMARAES,CIA TEXTIL FERREIRA GUIMARAES
FGUI4,FERREIRA GUIMARAES,CIA TEXTIL FERREIRA GUIMARAES
FHER3,Fer Heringer,FERTILIZANTES HERINGER SA
FIBR3,Fibria,VOTORANTIM CELULOSE E PAPEL SA
FICT3,FICTORALIMEN,FICTOR ALIMENTOS S.A
FIEI3,FICA,FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A
FIGE3,INVESTIMENTOS BEMGE,INVESTIMENTOS BEMGE S.A.
FIGE4,INVESTIMENTOS BEMGE,INVESTIMENTOS BEMGE S.A.
FIQE3,UNIFIQUE,UNIFIQUE TELECOMUNICAÇÕES S.A.
FJTA3,TAURUS ARMAS,TAURUS ARMAS S.A.
FJTA4,TAURUS ARMAS,TAURUS ARMAS S.A.
FLCL3,CATAG LEOPOLDINA,CIA FORÇA E LUZ CATAGUAZES-LEOPOLDINA
FLCL5,CATAG LEOPOLDINA,CIA FORÇA E LUZ CATAGUAZES-LEOPOLDINA
FLCL6,CATAG LEOPOLDINA,CIA FORÇA E LUZ CATAGUAZES-LEOPOLDINA
FLRY3,FLEURY,FLEURY S.A.
FNCN3,DMFINANCEIRA,DM FINANCEIRA S.A.
FRAS3,FRAS-LE S.A.,FRAS-LE SA
FRAS4,FRAS-LE S.A.,FRAS-LE SA
FRIO3,Metalfrio,METALFRIO SOLUTIONS S/A
FRTA3,POMIFRUTAS,POMIFRUTAS S/A
FTRX3,FAB TECIDOS C RENAUX,FAB TECIDOS CARLOS RENAUX SA
FTRX4,FAB TECIDOS C RENAUX,FAB TECIDOS CARLOS RENAUX SA
GAFP3,CIMOB,CIMOB PARTICIPAÇÕES SA
GAFP4,CIMOB,CIMOB PARTICIPAÇÕES SA
GALO3,EMEEGE ESCAPAMENTOS,DE MAIO GALLO S.A IND. COM. PÇS P/ AUTOM
GALO4,EMEEGE ESCAPAMENTOS,DE MAIO GALLO S.A IND. COM. PÇS P/ AUTOM
GAZO3,GAZOLA SA INDÚSTRIA METALURGICA,GAZOLA SA INDÚSTRIA METALURGICA
GAZO4,GAZOLA SA INDÚSTRIA METALURGICA,GAZOLA SA INDÚSTRIA METALURGICA
GBIO33,BIOTOSCANA,BIOTOSCANA INVESTMENTS S.A.
GEPA3,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA","DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA"
GEPA4,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA","DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA"
GETI3,AES TIETE SA,AES TIETE SA
GETI4,AES TIETE SA,AES TIETE SA
GETT3,GETNET BR,GETNET ADQUIRENCIA E SERV PARA MEIOS DE PGTO S.A.
GETT4,GETNET BR,GETNET ADQUIRENCIA E SERV PARA MEIOS DE PGTO S.A.
GFSA3,GAFISA,GAFISA SA
GGBR3,GERDAU S.A.,GERDAU SA
GGBR4,GERDAU S.A.,GERDAU SA
GGPS3,GPS,GPS PARTICIPACOES E EMPREENDIMENTOS S.A.
GLOB4,CASAS BAHIA,GRUPO CASAS BAHIA S.A.
GMAT3,GRUPO MATEUS,GRUPO MATEUS S.A.
GNDI3,INTERMEDICA,NOTRE DAME INTERMEDICA PARTICIPACOES SA
GOAU3,METALÚRGICA GERDAU,METALURGICA GERDAU SA
GOAU4,METALÚRGICA GERDAU,METALURGICA GERDAU SA
GOLL4,GOL LINHAS AEREAS INTELIGENTES SA,GOL LINHAS AEREAS INTELIGENTES SA
GPAR3,CELGPAR,CIA CELG DE PARTICIPACOES - CELGPAR
GPCP3,DEXXOS PAR,DEXXOS PARTICIPACOES S.A.
GPIV33,"GP INVESTMENTS, LTD","GP INVESTMENTS, LTD"
GRND3,GRENDENE SA,GRENDENE SA
GRNL4,GRANÓLEO S/A,GRANOLEO SA CI SEMS OLEAGS DER
GSHP3,Generalshopp,GENERAL SHOPPING BRASIL SA
GUAR3,GUARARAPES CONFECÇÕES,GUARARAPES CONFECÇÕES SA
GUAR4,GUARARAPES CONFECÇÕES,GUARARAPES CONFECÇÕES SA
GVTT3,GVT HOLDING,GVT (HOLDING) S.A.
HAGA3,HAGA,FERRAGENS HAGA SA
HAGA4,HAGA,FERRAGENS HAGA SA
HAPV3,HAPVIDA,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA
HBOR3,Helbor,HELBOR EMPREENDIMENTOS S/A
HBRE3,HBR REALTY,HBR REALTY EMPREENDIMENTOS IMOBILIARIOS S/A
HBSA3,HIDROVIAS,HIDROVIAS DO BRASIL S.A.
HBTS5,CIA HABITASUL,COMPANHIIA HABITASUL DE PARTICIPAÇÕES
HETA3,HERCULES S/A,HERCULES S/A - FABRICA DE TALHERES
HETA4,HERCULES S/A,HERCULES S/A - FABRICA DE TALHERES
HGTX3,CIA HERING,CIA HERING
HGTX4,CIA HERING,CIA HERING
HOOT4,HOTEIS OTHON S.A.,HOTEIS OTHON SA
HRTP3,PETRORIO,PETRO RIO S.A.
HYPE3,HYPERA,HYPERA S.A.
ICPI3,CIMENTO ITAU CORUMBA,CIMENTO ITAU DE CORUMBA SA
IDNT3,PADTEC,PADTEC HOLDING S.A.
IDVL11,Indusval,BCO INDUSVAL S.A.
IDVL3,Indusval,BCO INDUSVAL S.A.
IDVL4,Indusval,BCO INDUSVAL S.A.
IENG3,INEPAR ENERGIA,INEPAR ENERGIA SA
IENG5,INEPAR ENERGIA,INEPAR ENERGIA SA
IFCM3,INFRACOMM,INFRACOMMERCE CXAAS S.A.
IGBR3,GRADIENTE,GRADIENTE ELETRONICA S A
IGBR5,GRADIENTE,GRADIENTE ELETRONICA S A
IGBR6,GRADIENTE,GRADIENTE ELETRONICA S A
IGTA3,IGUATEMI,IGUATEMI EMPRESA DE SHOPPING CENTERS S.A
IGTI11,IGUATEMI S.A,JEREISSATI PARTICIPACOES S.A.
IGTI3,IGUATEMI S.A,JEREISSATI PARTICIPACOES S.A.
IGUA3,CIA. IGUAÇU DE CAFÉ SOLÚVEL,CIA. IGUAÇU DE CAFÉ SOLÚVEL
IGUA5,CIA. IGUAÇU DE CAFÉ SOLÚVEL,CIA. IGUAÇU DE CAFÉ SOLÚVEL
IGUA6,CIA. IGUAÇU DE CAFÉ SOLÚVEL,CIA. IGUAÇU DE CAFÉ SOLÚVEL
ILLS4,LINHAS CIRCULO,CIRCULO S/A
ILMD3,YARA BRASIL FERTILIZANTES S.A.,YARA BRASIL FERTILIZANTES S.A.
ILMD4,YARA BRASIL FERTILIZANTES S.A.,YARA BRASIL FERTILIZANTES S.A.
IMBI3,COMPANHIA DOCAS DE IMBITUBA,CIA DOCAS DE IMBITUBA
IMBI4,COMPANHIA DOCAS DE IMBITUBA,CIA DOCAS DE IMBITUBA
IMCH3,IMC HOLDINGS,International Meal Company Holdings S.A.
INEP3,INEPAR S/A,INEPAR SA IND E CONSTRUCOES
INEP4,INEPAR S/A,INEPAR SA IND E CONSTRUCOES
INET3,FICTORALIMEN,FICTOR ALIMENTOS S.A
INHA3,GAFISA,GAFISA SA
INTB3,INTELBRAS,INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA
IRBR3,IRBBRASIL RE,IRB - BRASIL RESSEGUROS S.A.
ISAE3,ISA ENERGIA,ISA ENERGIA BRASIL S.A
ISAE4,ISA ENERGIA,ISA ENERGIA BRASIL S.A
ITEC3,ITAUTEC PHILCO SA - GRUPO ITAUTEC PHILCO,ITAUTEC PHILCO S.A. - GRUPO ITAUTEC PHILCO
ITSA3,ITAÚSA,ITAÚSA - INVESTIMENTOS ITAÚ S.A.
ITSA4,ITAÚSA,ITAÚSA - INVESTIMENTOS ITAÚ S.A.
ITUB3,ITAUUNIBANCO,ITAU UNIBANCO HOLDING S.A.
ITUB4,ITAUUNIBANCO,ITAU UNIBANCO HOLDING S.A.
IVTT3,BHG,BHG S.A. - BRAZIL HOSPITALITY GROUP
JALL3,JALLESMACHAD,JALLES MACHADO S.A.
JBDU3,B TECH EQI,BLUE TECH SOLUTIONS E.Q.I. S
JBDU4,B TECH EQI,BLUE TECH SOLUTIONS E.Q.I. S
JBSS3,JBS,JBS S.A.
JFAB4,JARAGUA FABRIL,JARAGUA FABRIL SA
JFEN3,JOÃO FORTES ENGENHARIA S.A.,JOAO FORTES ENGENHARIA SA
JHSF3,JHSF Part,JHSF PARTICIPAÇÕES SA
JOPA3,JOSAPAR S/A,JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP
JOPA4,JOSAPAR S/A,JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP
JPSA3,IGUATEMI S.A,JEREISSATI PARTICIPACOES S.A.
JSLG3,JULIO SIMOES,JÚLIO SIMÕES LOGÍSTICA S.A.
KEPL3,KEPLER WEBER SA,KEPLER WEBER SA
KLBN11,KLABIN,KLABIN S.A.
KLBN3,KLABIN,KLABIN S.A.
KLBN4,KLABIN,KLABIN S.A.
KROT11,COGNA,KROTON EDUCACIONAL S.A.
KROT3,COGNA,KROTON EDUCACIONAL S.A.
KROT4,COGNA,KROTON EDUCACIONAL S.A.
KRSA3,KORA SAUDE,KORA SAÚDE PARTICIPAÇÕES S.A
KSSA3,KLABINSEGALL,KLABIN SEGALL S.A.
LAME3,LOJAS AMERICANAS S.A.,LOJAS AMERICANAS SA
LAME4,LOJAS AMERICANAS S.A.,LOJAS AMERICANAS SA
LAND3,TERRASANTAPA,Terra Santa Propriedades Agricolas S.A.
LATM11,LATAM AIRLN,LATAM AIRLINES GROUP S.A.
LATS3,REXAM BEVERAGE CAN SOUTH AMERICA,REXAM BEVERAGE CAN SOUTH AMERICA S.A.
LAVV3,LAVVI,LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.
LCAM3,LOCAMERICA,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS
LCSA3,NÃO CONSTA,PARMALAT BRASIL S.A IND DE ALIMENTOS.
LCSA4,NÃO CONSTA,PARMALAT BRASIL S.A IND DE ALIMENTOS.
LECO3,LECO,CIA LECO DE PRODS ALIMENTICIOS
LECO4,LECO,CIA LECO DE PRODS ALIMENTICIOS
LETO3,MITTO,INDUSTRIAS MICHELETTO S/A
LETO5,MITTO,INDUSTRIAS MICHELETTO S/A
LEVE3,MAHLE METAL LEVE,MAHLE METAL LEVE S.A.
LEVE4,MAHLE METAL LEVE,MAHLE METAL LEVE S.A.
LFFE3,LA FONTE TELECOM S/A,LA FONTE TELECOM S/A
LFFE4,LA FONTE TELECOM S/A,LA FONTE TELECOM S/A
LGLO4,LIVRARIA DO GLOBO S/A,LIVRARIA DO GLOBO SA
LIGH3,LIGHT,LIGHT SERVIÇOS DE ELETRICIDADE SA
LIGT3,LIGHT SA,LIGHT SA
LINX3,LINX,LINX S.A.
LIPR3,LIGHTPAR,LIGHT PARTICIPAÇÕES S.A. - LIGHTPAR
LIXC3,LIX DA CUNHA,CONST LIX DA CUNHA SA
LIXC4,LIX DA CUNHA,CONST LIX DA CUNHA SA
LJQQ3,QUERO-QUERO,LOJAS QUERO-QUERO S/A
LLIS3,VESTE,VESTE S.A. ESTILO
LOGG3,LOG COM PROP,LOG COMMERCIAL PROPERTIES
LOGN3,Log-In,LOG-IN LOGISTICA INTERMODAL SA
LPSB3,LOPES BRASIL,LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.
LREN3,RENNER,LOJAS RENNER SA
LREN4,RENNER,LOJAS RENNER SA
LUPA3,LUPATECH,LUPATECH S.A.
LUXM3,TREVISA INVESTIMENTOS SA,TREVISA INVESTIMENTOS SA
LUXM4,TREVISA INVESTIMENTOS SA,TREVISA INVESTIMENTOS SA
LWSA3,LOCAWEB,LOCAWEB SERVIÇOS DE INTERNET S.A.
MAGG3,MAGNESITA REFRATÁRIOS,MAGNESITA REFRATÁRIOS S/A
MAGS3,MAGNESITA S/A,MAGNESITA SA
MAPT3,CIA MARCOPOLO,CEMEPE INVESTIMENTOS SA
MAPT4,CIA MARCOPOLO,CEMEPE INVESTIMENTOS SA
MARI3,Marisa,MARISA SA
MATD3,MATER DEI,HOSPITAL MATER DEI S/A
MBLY3,GRUPO TOKY,GRUPO TOKY S.A.
MBRF3,MARFRIG,MARFRIG GLOBAL FOODS S.A.
MDIA3,M.DIASBRANCO,M.DIAS BRANCO S.A. IND COM DE ALIMENTOS
MDNE3,MOURA DUBEUX,MOURA DUBEUX ENGENHARIA S/A
MEAL3,IMC S/A,INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.
MEDI3,MEDIAL SAUDE,MEDIAL SAUDE S.A.
MEGA3,SERENA,SERENA ENERGIA S.A.
MELK3,MELNICK,MELNICK EVEN DESENVOLVIMENTO IMOBILIÁRIO S.A.
MEND5,MENDES JUNIOR ENGENHARIA S/A,MENDES JUNIOR ENGENHARIA SA
MEND6,MENDES JUNIOR ENGENHARIA S/A,MENDES JUNIOR ENGENHARIA SA
MERC3,MERCANTIL BRASIL,MERCANTIL DO BR FINC SA CFI
MERC4,MERCANTIL BRASIL,MERCANTIL DO BR FINC SA CFI
MGEL3,MANGELS,MANGELS INDUSTRIAL SA
MGEL4,MANGELS,MANGELS INDUSTRIAL SA
MGLU3,MAGAZ LUIZA,MAGAZINE LUIZA S.A.
MILK33,Laep DR3,LAEP INVESTMENTS LTD.
MILS3,MILLS,MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.
MLAS3,MULTILASER,MULTILASER INDUSTRIAL S.A.
MLFT3,IGUATEMI S.A,JEREISSATI PARTICIPACOES S.A.
MLFT4,IGUATEMI S.A,JEREISSATI PARTICIPACOES S.A.
MLPA12,MELHORAMENTOS PAPEIS,MELPAPER SA
MLPA3,MELHORAMENTOS PAPEIS,MELPAPER SA
MLPA4,MELHORAMENTOS PAPEIS,MELPAPER SA
MMAQ3,MINASMÁQUINAS S/A,MINASMAQUINAS SA
MMAQ4,MINASMÁQUINAS S/A,MINASMAQUINAS SA
MMXM3,MMX MINER,MMX MINERAÇÃO E METÁLICOS S.A.
MNDL3,MUNDIAL S/A,MUNDIAL S/A - PRODUTOS DE CONSUMO
MNDL4,MUNDIAL S/A,MUNDIAL S/A - PRODUTOS DE CONSUMO
MNPR3,MINUPAR,MINUPAR PARTICIPACOES SA
MNPR4,MINUPAR,MINUPAR PARTICIPACOES SA
MNSA3,MANASA,MANASA MADEIREIRA NACIONAL SA
MNSA4,MANASA,MANASA MADEIREIRA NACIONAL SA
MOAR3,MONTEIRO ARANHA,MONTEIRO ARANHA SA
MODL11,MODALMAIS,BANCO MODAL S.A
MODL3,MODALMAIS,BANCO MODAL S.A
MODL4,MODALMAIS,BANCO MODAL S.A
MOSI3,MOSAICO SA,Mosaico Tecnologia ao Consumidor S.A.
MOTV3,MOTIVA SA,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.
MOVI3,MOVIDA,MOVIDA PARTICIPACOES SA
MPLU3,MULTIPLUS,Multiplus S.A.
MRSA3B,MRS LOGÍSTICA S/A,MRS LOGÍSTICA S/A
MRSA5B,MRS LOGÍSTICA S/A,MRS LOGÍSTICA S/A
MRSA6B,MRS LOGÍSTICA S/A,MRS LOGÍSTICA S/A
MRSL3,MARISOL,MARISOL SA
MRSL4,MARISOL,MARISOL SA
MRVE3,MRV,MRV ENGENHARIA E PARTICIPAÇÕES S/A
MSAN3,BUNGE BRASIL S.A.,BUNGE BRASIL SA
MSAN4,BUNGE BRASIL S.A.,BUNGE BRASIL SA
MSPA3,MELHORAMENTOS,COMPANHIA MELHORAMENTOS DE SÃO PAULO
MSPA4,MELHORAMENTOS,COMPANHIA MELHORAMENTOS DE SÃO PAULO
MTBR3,WHIRLPOOL S.A.,WHIRLPOOL S.A.
MTBR4,WHIRLPOOL S.A.,WHIRLPOOL S.A.
MTIG3,IGUAÇU,METALGRAFICA IGUACU SA
MTIG4,IGUAÇU,METALGRAFICA IGUACU SA
MTRE3,MITRE REALTY,MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.
MTSA4,METISA,METISA METALÚRGICA TIMBOENSE SA
MULT3,Multiplan,MULTIPLAN EMP. IMOBILIARIOS S/A
MWET3,WETZEL S.A.,WETZEL S.A.
MWET4,WETZEL S.A.,WETZEL S.A.
MYPK3,IOCHPE-MAXION,IOCHPE-MAXION SA
MYPK4,IOCHPE-MAXION,IOCHPE-MAXION SA
NAFG3,NADIR FIGUEIREDO,NADIR FIGUEIREDO IND E COM SA
NAFG4,NADIR FIGUEIREDO,NADIR FIGUEIREDO IND E COM SA
NATU3,NATURA COSMETICOS SA,NATURA COSMETICOS SA
NEOE3,NEOENERGIA,NEOENERGIA S.A.
NETC3,NET SERVIÇOS DE COMUNICAÇÃO S.A.,NET SERVIÇOS DE COMUNICAÇÃO S.A.
NETC4,NET SERVIÇOS DE COMUNICAÇÃO S.A.,NET SERVIÇOS DE COMUNICAÇÃO S.A.
NEXP3,NEXPE,NEXPE PARTICIPAÇÕES S.A
NGRD3,NEOGRID,NEOGRID PARTICIPACOES S.A.
NINJ3,ARANDU,ARANDU INVESTIMENTOS S.A.
NORD3,NORDON INDS METALURGICAS SA,NORDON INDS METALURGICAS SA
NTCO3,GRUPO NATURA,NATURA &CO HOLDING S.A.
NUTR3,NUTRIPLANT,NUTRIPLANT INDÚSTRIA E COMÉRCIO S/A
OBTC3,ORANJEBTC,ORANJEBTC S.A. - EDUCAÇÃO E INVESTIMENTO
ODER3,CONSERVAS ODERICH SA,CONSERVAS ODERICH SA
ODER4,CONSERVAS ODERICH SA,CONSERVAS ODERICH SA
ODPV3,ODONTOPREV,ODONTOPREV S.A.
OFSA3,OUROFINO S/A,OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.
OGXP3,OGX,ÓLEO E GÁS PARTICIPAÇÕES S.A.
OIBR3,OI,OI S.A.
OIBR4,OI,OI S.A.
OMGE3,OMEGA GER,OMEGA GERAÇÃO S.A.
ONCO3,ONCOCLINICAS,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S.A.
OPCT3,OCEANPACT,OCEANPACT SERVICOS MARITIMOS S.A.
ORVR3,ORIZON,ORIZON VALORIZACAO DE RESIDUOS S.A.
OSAO4,PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A,PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A
