Papel,Nome Comercial,Razão Social
OSXB3,OSX BRASIL,OSX BRASIL S.A.
PALF11,CPFL,COMPANHIA PAULISTA DE FORCA LUZ - CPFL
PALF3,CPFL,COMPANHIA PAULISTA DE FORCA LUZ - CPFL
PALF5,CPFL,COMPANHIA PAULISTA DE FORCA LUZ - CPFL
PARC3,WIZ CO,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.
PARD3,IHPARDINI,INSTITUTO HERMES PARDINI S.A.
PATI3,PANATLANTICA,PANATLANTICA SA
PATI4,PANATLANTICA,PANATLANTICA SA
PCAR3,PÃO DE AÇÚCAR,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO
PCAR4,PÃO DE AÇÚCAR,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO
PCAR5,PÃO DE AÇÚCAR,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO
PDGR3,PDG REALT,PDG REALTY S.A. EMPREEND E PARTICIPACOES
PDTC3,PADTEC,PADTEC HOLDING S.A.
PEAB3,CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA,CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA
PEAB4,CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA,CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA
PEFX3,PETROFLEX INDÚSTRIA E COMÉRCIO S.A,PETROFLEX INDÚSTRIA E COMÉRCIO S.A.
PEFX5,PETROFLEX INDÚSTRIA E COMÉRCIO S.A,PETROFLEX INDÚSTRIA E COMÉRCIO S.A.
PETR3,PETROBRAS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS
PETR4,PETROBRAS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS
PETZ3,PETZ,PET CENTER COMERCIO E PARTICIPACOES S.A.
PFRM3,PROFARMA,PROFARMA DISTRIB PROD FARMACEUTICOS S.A.
PGMN3,PAGUE MENOS,EMPREENDIMENTOS PAGUE MENOS S.A.
PINE3,Pine,BANCO PINE S/A
PINE4,Pine,BANCO PINE S/A
PITI4,"AV. DR CHUCRI ZAIDAN, 920 - 16§ ANDAR",LF TEL SA
PLAS3,PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A,PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A
PLDN4,POLIALDEN,POLIALDEN PETROQUIMICA SA
PLIM4,NET SERVIÇOS DE COMUNICAÇÃO S.A.,NET SERVIÇOS DE COMUNICAÇÃO S.A.
PLPL3,PLANOEPLANO,PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.
PLTO5,POLITENO IND E COMERCIO S.A.,POLITENO IND E COMERCIO SA
PLTO6,POLITENO IND E COMERCIO S.A.,POLITENO IND E COMERCIO SA
PMAM3,PARANAPANEMA S.A.,PARANAPANEMA SA
PMAM4,PARANAPANEMA S.A.,PARANAPANEMA SA
PMET3,PRO METALURG,PRÓ METALURGIA S.A.
PMET5,PRO METALURG,PRÓ METALURGIA S.A.
PMET6,PRO METALURG,PRÓ METALURGIA S.A.
PNOR5,PRONOR,PRONOR PETROQUIMICA SA
PNOR6,PRONOR,PRONOR PETROQUIMICA SA
PNVL3,PANVEL FARMÁCIAS,DIMED SA DISTRIBUIDORA DE MEDICAMENTOS
PNVL4,PANVEL FARMÁCIAS,DIMED SA DISTRIBUIDORA DE MEDICAMENTOS
POMO3,MARCOPOLO,MARCOPOLO SA
POMO4,MARCOPOLO,MARCOPOLO SA
POPR4,POLIPROPILENO S.A.,POLIPROPILENO SA
PORP4,POLIPROPILENO PARTICIPAÇÕES S.A.,POLIPROPILENO PARTICIPACOES S.A.
PORT3,WILSON SONS,WILSON SONS HOLDINGS BRASIL S.A.
POSI3,POSITIVO TEC,POSITIVO TECNOLOGIA S.A.
POWE3,FOCUS ON,FOCUS ENERGIA HOLDING PARTICIPAÇÕES S.A
PQUN3,PETROQUIMICA UNIAO S.A.,PETROQUIMICA UNIAO SA
PQUN4,PETROQUIMICA UNIAO S.A.,PETROQUIMICA UNIAO SA
PRBC3,Parana,PARANA BANCO S.A.
PRBC4,Parana,PARANA BANCO S.A.
PRGA4,BRF Foods,BRF Foods
PRIO3,PETRORIO,PETRO RIO S.A.
PRML3,PRUMO,PRUMO LOGÍSTICA S.A.
PRNR3,PRINER,PRINER SERVIÇOS INDUSTRIAIS S.A.
PRTX3,PORTX,CENTENNIAL ASSET PARTICIP. SUDESTE S.A.
PRVI3,Providencia,COMPANHIA PROVIDENCIA IND E COMERCIO
PSSA3,PORTO SEGURO SA,PORTO SEGURO SA
PTBL3,PORTOBELLO S/A,PBG S/A
PTBL4,PORTOBELLO S/A,PBG S/A
PTIP3,IPIRANGA PETROQUIMICA SA,IPIRANGA PETROQUIMICA SA
PTIP4,IPIRANGA PETROQUIMICA SA,IPIRANGA PETROQUIMICA SA
PTNT3,PETTENATI,PETTENATI SA IND TEXTIL
PTNT4,PETTENATI,PETTENATI SA IND TEXTIL
PTPA3,PETROPAR SA,PETROPAR SA
PTPA4,PETROPAR SA,PETROPAR SA
PTQS4,PETROQUISA,PETROBRAS QUÍMICA S.A.- PETROQUISA
QGEP3,ENAUTA PART,ENAUTA PARTICIPAÇÕES S.A.
QUAL3,QUALICORP,QUALICORP S.A.
RADL3,RAIADROGASIL,RAIA DROGASIL S.A.
RAIA3,RAIA,RAIA S.A.
RAIL3,RUMO S.A.,RUMO S.A.
RAIZ4,RAIZEN,RAIZEN S.A.
RANI3,IRANI,IRANI PAPEL E EMBALAGEM S.A.
RANI4,IRANI,IRANI PAPEL E EMBALAGEM S.A.
RAPT3,RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES
RAPT4,RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES
RCSL3,RECRUSUL,RECRUSUL SA
RCSL4,RECRUSUL,RECRUSUL SA
RCTB31,TELEBRAS,TELEC. BRASILEIRAS S.A. - TELEBRÁS
RCTB33,TELEBRAS,TELEC. BRASILEIRAS S.A. - TELEBRÁS
RCTB41,TELEBRAS,TELEC. BRASILEIRAS S.A. - TELEBRÁS
RCTB42,TELEBRAS,TELEC. BRASILEIRAS S.A. - TELEBRÁS
RDCD3,Redecard,REDECARD S.A.
RDNI3,RNI,RNI NEGÓCIOS IMOBILIÁRIOS S.A.
RDOR3,REDE D OR,Rede DOr São Luiz S.A.
RDTR3,REDENTOR,REDENTOR ENERGIA S.A.
RECV3,PETRORECONCA,PETRORECÔNCAVO S.A.
REDE3,REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.
REDE4,REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.
REEM4,RHEEM EMPRS,RIMET EMPREEND. INDS. E COMERCIAIS S/A
RENT3,LOCALIZA RENT A CAR,LOCALIZA RENT A CAR SA
REPA3,ELECTROLUX,ELECTROLUX DO BRASIL SA
REPA4,ELECTROLUX,ELECTROLUX DO BRASIL SA
RGEG3,RGE - RIO GRANDE ENERGIA,RIO GRANDE ENERGIA SA
RHDS3,M G POLIEST,M G POLIESTER S.A.
RHDS4,M G POLIEST,M G POLIESTER S.A.
RIOS3,RIO ALTO,RIO ALTO ENERGIAS RENOVÁVEIS S.A.
RIPI3,REFINARIA DE PETRÓLEO IPIRANGA SA,REFINARIA PET IPIRANGA SA
RIPI4,REFINARIA DE PETRÓLEO IPIRANGA SA,REFINARIA PET IPIRANGA SA
RJCP3,RJCP EQUITY,RJCP EQUITY S.A.
RLOG3,COSAN LOG,COSAN LOGISTICA S.A.
RNAR3,POMIFRUTAS,POMIFRUTAS S/A
RNEW11,RENOVA,RENOVA ENERGIA S.A.
RNEW3,RENOVA,RENOVA ENERGIA S.A.
RNEW4,RENOVA,RENOVA ENERGIA S.A.
RNPT3,RENNER PARTICIPAÇÕES S/A,RENNER PARTICIPAÇÕES SA
RNPT4,RENNER PARTICIPAÇÕES S/A,RENNER PARTICIPAÇÕES SA
ROMI3,ROMI,INDS ROMI SA
ROMI4,ROMI,INDS ROMI SA
RPAD3,ALFA HOLDINGS,ALFA HOLDINGS SA
RPAD5,ALFA HOLDINGS,ALFA HOLDINGS SA
RPAD6,ALFA HOLDINGS,ALFA HOLDINGS SA
RPMG3,REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A,REFINARIA PET MANGUINHOS SA
RPMG4,REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A,REFINARIA PET MANGUINHOS SA
RPSA4,RIPASA,RIPASA SA CELULOSE E PAPEL
RRRP3,BRAVA,3R PETROLEUM ÓLEO E GÁS S.A
RSID3,ROSSI RESIDENCIAL,ROSSI RESIDENCIAL SA
RSIP3,RASIP AGRO PASTORIL,RASIP AGRO PASTORIL SA
RSIP4,RASIP AGRO PASTORIL,RASIP AGRO PASTORIL SA
RSUL4,METALURGICA RIOSULENSE S/A,METALURGICA RIOSULENSE SA
RUMO3,RUMO LOG,RUMO LOGISTICA OPERADORA MULTIMODAL S.A.
RVEE3,REVEE,REVEE S.A.
SALM3,SEARA ALIMENTOS,SEARA ALIMENTOS SA
SALM4,SEARA ALIMENTOS,SEARA ALIMENTOS SA
SANB11,SANTANDER,BANCO SANTANDER S.A.
SANB3,SANTANDER,BANCO SANTANDER S.A.
SANB4,SANTANDER,BANCO SANTANDER S.A.
SAPR11,SANEPAR,CIA. DE SANEAMENTO DO PARANÁ - SANEPAR
SAPR3,SANEPAR,CIA. DE SANEAMENTO DO PARANÁ - SANEPAR
SAPR4,SANEPAR,CIA. DE SANEAMENTO DO PARANÁ - SANEPAR
SASG3,SUL AMERICA SEGUROS,SUL AMERICA CIA NACL SEGUROS
SBFG3,GRUPO SBF,GRUPO SBF SA
SBSP3,SABESP,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO
SCAR3,SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.,SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A
SCAR4,SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.,SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A
SCLO3,SCHLOSSER TECIDOS,CIA INDL SCHLOSSER SA
SCLO4,SCHLOSSER TECIDOS,CIA INDL SCHLOSSER SA
SDIA3,SADIA,SADIA SA
SDIA4,SADIA,SADIA SA
SEBB11,SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A,SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A
SEBB3,SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A,SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A
SEBB4,SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A,SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A
SEDU3,SOMOS EDUCA,SOMOS EDUCAÇÃO S.A.
SEER3,SER EDUCA,SER EDUCACIONAL S.A.
SEMP3,SEMP TOSHIBA,SEMP TOSHIBA SA
SEQL3,SEQUOIA LOG,SEQUOIA LOGISTICA E TRANSPORTES S.A
SFSA3,Sofisa,BANCO SOFISA SA
SFSA4,Sofisa,BANCO SOFISA SA
SGAS3,WLM,WLM INDÚSTRIA E COMÉRCIO S/A
SGAS4,WLM,WLM INDÚSTRIA E COMÉRCIO S/A
SGEN3,SERGEN,SERGEN SERVS GERAIS DE ENG SA
SGEN4,SERGEN,SERGEN SERVS GERAIS DE ENG SA
SGPS3,Springs,SPRINGS GLOBAL PARTICIPAÇÕES S/A
SHOW3,TIME FOR FUN,T4F Entretenimento S.A.
SHUL4,SCHULZ,SCHULZ SA
SIMH3,SIMPAR,SIMPAR S.A.
SJOS3,SÃO JOSÉ,FIACAO TECELAGEM SAO JOSE SA
SJOS4,SÃO JOSÉ,FIACAO TECELAGEM SAO JOSE SA
SLCE3,SLC Agricola,SLC AGRICOLA SA
SLCP3,SULACAP,SUL AMERICA CAPITALIZACAO S.A.
SLED3,EDITORA SARAIVA,SARAIVA SA LIVREIROS EDITORES
SLED4,EDITORA SARAIVA,SARAIVA SA LIVREIROS EDITORES
SMFT3,SMART FIT,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.
SMLE3,SMILES,SMILES S.A.
SMLS3,SMILES,SMILES FIDELIDADE S.A.
SMTO3,SAO MARTINHO,SAO MARTINHO S.A.
SNSL3,SINQIA,SINQIA S.A.
SNSY5,SANSUY S.A. INDÚSTRIA DE PLÁSTICOS,SANSUY SA INDÚSTRIA DE PLASTICOS
SOJA3,BOA SAFRA,BOA SAFRA SEMENTES S.A.
SOMA3,GRUPO SOMA,GRUPO DE MODA SOMA S.A.
SOND3,SONDOTECNICA S/A.,SONDOTECNICA ENGENHARIA DE SOLOS S/A.
SOND5,SONDOTECNICA S/A.,SONDOTECNICA ENGENHARIA DE SOLOS S/A.
SOND6,SONDOTECNICA S/A.,SONDOTECNICA ENGENHARIA DE SOLOS S/A.
SPRI3,SPRINGER,SPRINGER SA
SPRI5,SPRINGER,SPRINGER SA
SPRI6,SPRINGER,SPRINGER SA
SQIA3,SINQIA,SINQIA S.A.
SRNA3,SERENA,SERENA ENERGIA S.A.
SSBR3,ALLOS,ALLOS S.A.
STBP11,SBPAR,SANTOS BRASIL PARTICIPAÇÕES S.A.
STBP3,SBPAR,SANTOS BRASIL PARTICIPAÇÕES S.A.
STLB3,ADVANCED-DH,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.
STRP4,STAROUP,BOTUCATU TÊXTIL S.A.
SUBA3,,SUBMARINO S/A
SULA11,Sul America,SUL AMERICA S/A
SULA3,Sul America,SUL AMERICA S/A
SULA4,Sul America,SUL AMERICA S/A
SULT3,CONSTRUTORA SULTEPA S/A,CONST SULTEPA SA
SULT4,CONSTRUTORA SULTEPA S/A,CONST SULTEPA SA
SUZA4,SUZANO HOLDING S.A.,SUZANO HOLDING S.A. (EX-NEMOFEFFER S.A.)
SUZB3,Suzano Papel,SUZANO PAPEL E CELULOSE S.A.
SUZB5,Suzano Papel,SUZANO PAPEL E CELULOSE S.A.
SUZB6,Suzano Papel,SUZANO PAPEL E CELULOSE S.A.
SWET3,ADVANCED-DH,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.
SYNE3,SYN PROP TEC,SYN prop e tech S.A.
SZPQ4,SUZANO PETROQUIMICA S.A.,SUZANO PETROQUIMICA S.A.
TAEE11,TAESA,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.
TAEE3,TAESA,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.
TAEE4,TAESA,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.
TAMM3,TAM,TAM S.A.
TAMM4,TAM,TAM S.A.
TANC4,TAM,TAM S.A.
TARP11,TARPON,TARPON INVESTMENT GROUP LTD.
TASA3,TAURUS ARMAS,TAURUS ARMAS S.A.
TASA4,TAURUS ARMAS,TAURUS ARMAS S.A.
TBLE3,ENGIE BRASIL,ENGIE BRASIL ENERGIA S.A.
TBLE5,ENGIE BRASIL,ENGIE BRASIL ENERGIA S.A.
TBLE6,ENGIE BRASIL,ENGIE BRASIL ENERGIA S.A.
TCNO3,TECNOSOLO S/A,TECNOSOLO S/A
TCNO4,TECNOSOLO S/A,TECNOSOLO S/A
TCOC3,TELE CENTRO OESTE CELULAR PARTICIP. S/A,TCO CELULAR PARTICIPAÇÕES S/A
TCOC4,TELE CENTRO OESTE CELULAR PARTICIP. S/A,TCO CELULAR PARTICIPAÇÕES S/A
TCSA3,TECNISA,TECNISA S.A.
TCSL4,TIM PARTICIPAÇÕES S.A.,TIM PARTICIPAÇÕES S.A.
TDBH3,TELEFÔNICA EMPRESAS S.A,TELEFONICA DATA BRASIL HOLDING SA
TDBH4,TELEFÔNICA EMPRESAS S.A,TELEFONICA DATA BRASIL HOLDING SA
TECN3,TECHNOS,TECHNOS S.A.
TEFC11,TELEFÓNICA,TELEFÓNICA S.A.
TEKA3,TEKA S.A.,TEKA TECELAGEM KUEHNRICH SA
TEKA4,TEKA S.A.,TEKA TECELAGEM KUEHNRICH SA
TELB3,TELEBRAS,TELEC. BRASILEIRAS S.A. - TELEBRÁS
TELB4,TELEBRAS,TELEC. BRASILEIRAS S.A. - TELEBRÁS
TEMP3,TEMPO PART,TEMPO PARTICIPACOES
TEND3,Tenda,CONSTRUTORA TENDA S/A
TENE5,TECBLU,TECBLU - TECELAGEM BLUMENAU S/A.
TENE7,TECBLU,TECBLU - TECELAGEM BLUMENAU S/A.
TERI3,TEREOS,TEREOS INTERNACIONAL S.A.
TESA3,TERRA SANTA,TERRA SANTA AGRO S.A.
TFCO4,TRACK FIELD,TRACK & FIELD CO S.A.
TGMA3,Tegma,TEGMA GESTÃO LOGÍSTICA SA
TIBR3,CRISTAL,TRONOX PIGMENTOS DO BRASIL S.A.
TIBR5,CRISTAL,TRONOX PIGMENTOS DO BRASIL S.A.
TIBR6,CRISTAL,TRONOX PIGMENTOS DO BRASIL S.A.
TIET11,AES TIETE E,AES TIETE ENERGIA SA
TIET3,AES TIETE E,AES TIETE ENERGIA SA
TIET4,AES TIETE E,AES TIETE ENERGIA SA
TIMP3,TIM PARTICIPAÇÕES S.A.,TIM PARTICIPAÇÕES S.A.
TIMS3,TIM,TIM S.A.
TKNO4,TEKNO,TEKNO S.A. CONSTR.INDÚSTRIA E COMÉRCIO
TLCP3,TELE LESTE CELULAR PARTICIPAÇÕES SA,TELE LESTE CELULAR PARTICIPAÇÕES SA
TLCP4,TELE LESTE CELULAR PARTICIPAÇÕES SA,TELE LESTE CELULAR PARTICIPAÇÕES SA
TMAR3,TELEMAR,TELEMAR NORTE LESTE SA
TMAR5,TELEMAR,TELEMAR NORTE LESTE SA
TMAR6,TELEMAR,TELEMAR NORTE LESTE SA
TMCP3,TELEMIG CELULAR PARTICIPAÇÕES S.A.,TELEMIG CELULAR PARTICIPAÇÕES S.A.
TMCP4,TELEMIG CELULAR PARTICIPAÇÕES S.A.,TELEMIG CELULAR PARTICIPAÇÕES S.A.
TMGC11,TELEMIG CELULAR,TELEMIG CELULAR SA
TMGC12,TELEMIG CELULAR,TELEMIG CELULAR SA
TMGC13,TELEMIG CELULAR,TELEMIG CELULAR SA
TMGC3,TELEMIG CELULAR,TELEMIG CELULAR SA
TMGC7,TELEMIG CELULAR,TELEMIG CELULAR SA
TNCP3,AMAZÔNIA CELULAR,TELE NORTE CELULAR PARTICIPAÇÕES SA
TNCP4,AMAZÔNIA CELULAR,TELE NORTE CELULAR PARTICIPAÇÕES SA
TNEP3,TELE NORDESTE CELULAR PARTICIPAÇÕES S.A.,TELE NORDESTE CELULAR PARTICIPAÇÕES SA
TNEP4,TELE NORDESTE CELULAR PARTICIPAÇÕES S.A.,TELE NORDESTE CELULAR PARTICIPAÇÕES SA
TNLP3,TELEMAR,TELE NORTE LESTE PARTICIPAÇÕES SA
TNLP4,TELEMAR,TELE NORTE LESTE PARTICIPAÇÕES SA
TOKY3,GRUPO TOKY,GRUPO TOKY S.A.
TOTS3,TOTVS,TOTVS S.A.
TOYB3,TEC TOY,TEC TOY S/A
TOYB4,TEC TOY,TEC TOY S/A
TPIS3,TRIUNFO PARTICIPACOES SA,TRIUNFO PARTICIPACOES E INVESTIMENTOS SA
TPRC3,TIM PARTICIPAÇÕES S.A.,TIM PARTICIPAÇÕES S.A.
TPRC6,TIM PARTICIPAÇÕES S.A.,TIM PARTICIPAÇÕES S.A.
TRAD3,TC,TC TRADERS CLUB S.A.
TRFO3,TRAFO,TRAFO EQUIPAMENTOS ELETRICOS S.A.
TRFO4,TRAFO,TRAFO EQUIPAMENTOS ELETRICOS S.A.
TRIS3,Trisul,TRISUL S/A
TROR3,TRORION,TRORION SA
TROR4,TRORION,TRORION SA
TRPL3,ISA ENERGIA,ISA ENERGIA BRASIL S.A
TRPL4,ISA ENERGIA,ISA ENERGIA BRASIL S.A
TRPN3,TARPON INV,TARPON INVESTIMENTOS S.A.
TSEP3,TELE SUDESTE CELULAR PART SA,TELE SUDESTE CELULAR PARTICIPAÇÕES SA
TSEP4,TELE SUDESTE CELULAR PART SA,TELE SUDESTE CELULAR PARTICIPAÇÕES SA
TSPP3,VIVO PARTICIPAÇÕES,VIVO PARTICIPAÇÕES S/A
TSPP4,VIVO PARTICIPAÇÕES,VIVO PARTICIPAÇÕES S/A
TTEN3,3TENTOS,TRÊS TENTOS AGROINDUSTRIAL S/A
TUPY3,TUPY,TUPY SA
TUPY4,TUPY,TUPY SA
TVIT3,TIVIT,"TIVIT TERC. DE PROC., SERV. E TEC. S.A."
TXRX3,RENAUX,TEXTIL RENAUXVIEW S.A.
TXRX4,RENAUX,TEXTIL RENAUXVIEW S.A.
UBBR11,UNIBANCO SA,UNIBANCO UNIAO BANCOS BRAS SA
UBBR3,UNIBANCO SA,UNIBANCO UNIAO BANCOS BRAS SA
UBBR4,UNIBANCO SA,UNIBANCO UNIAO BANCOS BRAS SA
UCAS3,UNICASA,UNICASA INDÚSTRIA DE MÓVEIS S.A.
UCOP4,USINA COSTA PINTO S/A AÇÚCAR E ÁLCOOL,USINA COSTA PINTO SA ACUC ALC
UGPA3,ULTRAPAR PARTICIPAÇÕES SA,ULTRAPAR PARTICIPAÇÕES SA
UGPA4,ULTRAPAR PARTICIPAÇÕES SA,ULTRAPAR PARTICIPAÇÕES SA
UNIP3,UNIPAR PARTICIPAÇÕES S.A.,UNIPAR PARTICIPAÇÕES S.A.
UNIP5,UNIPAR PARTICIPAÇÕES S.A.,UNIPAR PARTICIPAÇÕES S.A.
UNIP6,UNIPAR PARTICIPAÇÕES S.A.,UNIPAR PARTICIPAÇÕES S.A.
UOLL4,UOL,UNIVERSO ONLINE SA
USIM3,USIMINAS,USINAS SIDERURGICAS DE MINAS GERAIS SA
USIM5,USIMINAS,USINAS SIDERURGICAS DE MINAS GERAIS SA
USIM6,USIMINAS,USINAS SIDERURGICAS DE MINAS GERAIS SA
VAGR3,TERRA SANTA,TERRA SANTA AGRO S.A.
VAGV3,SAVIRG,S.A. (VIACAO AEREA-RIOGRANDENSE)
VAGV4,SAVIRG,S.A. (VIACAO AEREA-RIOGRANDENSE)
VALE3,VALE,VALE S.A.
VALE5,VALE,VALE S.A.
VAMO3,VAMOS,VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP. S.A.
VBBR3,VIBRA,VIBRA ENERGIA S.A.
VCPA4,Fibria,VOTORANTIM CELULOSE E PAPEL SA
VGOR3,VIGOR,SA FABRICA PRODS ALIMCS VIGOR
VGOR4,VIGOR,SA FABRICA PRODS ALIMCS VIGOR
VIGR3,VIGOR FOOD,VIGOR ALIMENTOS S.A.
VIIA3,CASAS BAHIA,GRUPO CASAS BAHIA S.A.
VINE3,VICUNHA TEXTIL SA,VICUNHA TEXTIL SA
VINE5,VICUNHA TEXTIL SA,VICUNHA TEXTIL SA
VITT3,VITTIA,VITTIA FERTILIZANTES E BIOLOGICOS S.A.
VIVA3,VIVARA S.A.,VIVARA PARTICIPAÇOES S.A
VIVO3,VIVO PARTICIPAÇÕES,VIVO PARTICIPAÇÕES S/A
VIVO4,VIVO PARTICIPAÇÕES,VIVO PARTICIPAÇÕES S/A
VIVR3,VIVER,VIVER INCORPORADORA E CONSTRUTORA S.A.
VIVT3,TELEF BRASIL,TELEFÔNICA BRASIL S.A
VIVT4,TELEF BRASIL,TELEFÔNICA BRASIL S.A
VLID3,VALID,VALID SOLUÇÕES E SERV. SEG. MEIOS PAG. IDENT. S.A.
VNET3,CIELO,CIELO S.A.
VPSC3,VPSC,VARIG PARTIC. EM SERVIÇOS COMPLEMENTARES
VPSC4,VPSC,VARIG PARTIC. EM SERVIÇOS COMPLEMENTARES
VPTA3,VPTA,VARIG PARTICIPAÇÕES EM TRANSP AÉREOS S/A
VPTA4,VPTA,VARIG PARTICIPAÇÕES EM TRANSP AÉREOS S/A
VSPT3,FERROVIA CENTRO-ATLÂNTICA S.A.,FERROVIA CENTRO ATLANTICA SA
VSPT4,FERROVIA CENTRO-ATLÂNTICA S.A.,FERROVIA CENTRO ATLANTICA SA
VSTE3,VESTE,VESTE S.A. ESTILO
VTLM3,ADVANCED-DH,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.
VTRU3,VITRUEDUCA,VITRU BRASIL EMPREEND. PARTICIP. E COMERCIO S.A.
VULC3,VULCABRAS S/A.,VULCABRAS SA
VULC4,VULCABRAS S/A.,VULCABRAS SA
VVAR11,CASAS BAHIA,GRUPO CASAS BAHIA S.A.
VVAR3,CASAS BAHIA,GRUPO CASAS BAHIA S.A.
VVAR4,CASAS BAHIA,GRUPO CASAS BAHIA S.A.
VVAX3,VIVAX SA,VIVAX SA
VVAX4,VIVAX SA,VIVAX SA
VVEO3,VIVEO,CM HOSPITALAR S.A.
WDCN3,WDC NETWORKS,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S/A
WEGE3,WEG SA,WEG SA
WEGE4,WEG SA,WEG SA
WEST3,WESTWING,WESTWING COMERCIO VAREJISTA S.A.
WHRL3,WHIRLPOOL S.A.,WHIRLPOOL S.A.
WHRL4,WHIRLPOOL S.A.,WHIRLPOOL S.A.
WISA3,WIEST SA,WIEST SA
WISA4,WIEST SA,WIEST SA
WIZC3,WIZ CO,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.
WIZS3,WIZ CO,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.
WLMM3,WLM,WLM INDÚSTRIA E COMÉRCIO S/A
WLMM4,WLM,WLM INDÚSTRIA E COMÉRCIO S/A
WMBY3,WEMBLEY SOCIEDADE ANÔNIMA,WEMBLEY SOCIEDADE ANÔNIMA
WSON33,Wilson Sons,WILSON SONS LIMITED
YBRA4,OPPORTUNITY ALEF S/A,OPPORTUNITY ALEF SA
YDUQ3,YDUQS PART,ESTACIO PARTICIPACOES S.A.
ZAMP3,ZAMP S.A.,ZAMP S.A.
