Data,Estrangeiro,Institucional,Pessoa fÃ­sica,Inst. Financeira,Outros
19/07/2023,302,88 mi,-544,98 mi,247,99 mi,14,66 mi,-20,56 mi
18/07/2023,137,71 mi,-435,45 mi,254,86 mi,35,26 mi,7,63 mi
17/07/2023,557,93 mi,-567,03 mi,1,40 mi,2,43 mi,5,27 mi
14/07/2023,455,25 mi,-1.123,37 mi,593,35 mi,2,16 mi,72,61 mi
13/07/2023,1.508,09 mi,-1.005,45 mi,-477,04 mi,-35,62 mi,10,03 mi
12/07/2023,202,81 mi,-423,99 mi,217,11 mi,-3,15 mi,7,22 mi
11/07/2023,2.989,66 mi,-2.673,63 mi,-187,74 mi,-194,74 mi,66,44 mi
10/07/2023,-802,33 mi,52,70 mi,529,74 mi,124,04 mi,95,85 mi
07/07/2023,-352,88 mi,614,81 mi,-317,45 mi,-50,98 mi,106,51 mi
06/07/2023,-1.459,32 mi,424,74 mi,890,41 mi,-26,95 mi,171,11 mi
05/07/2023,-831,50 mi,722,21 mi,-82,86 mi,55,12 mi,137,02 mi
04/07/2023,-431,97 mi,24,16 mi,324,57 mi,-1,40 mi,84,64 mi
03/07/2023,565,61 mi,-245,75 mi,-297,96 mi,-72,44 mi,50,54 mi
30/06/2023,419,39 mi,-1.114,17 mi,527,32 mi,87,86 mi,79,61 mi
29/06/2023,1.880,95 mi,-566,52 mi,-146,84 mi,-1.288,14 mi,120,54 mi
28/06/2023,-32,44 mi,-561,24 mi,434,08 mi,15,72 mi,143,87 mi
27/06/2023,228,00 mi,-664,72 mi,245,21 mi,89,99 mi,101,52 mi
26/06/2023,171,11 mi,-695,74 mi,488,57 mi,-5,73 mi,41,78 mi
23/06/2023,602,67 mi,134,00 mi,318,83 mi,68,01 mi,-1.123,51 mi
22/06/2023,-427,54 mi,-237,90 mi,578,37 mi,-37,23 mi,124,31 mi
21/06/2023,-267,26 mi,95,87 mi,112,06 mi,-7,36 mi,66,69 mi
20/06/2023,-91,03 mi,-624,08 mi,643,42 mi,-11,23 mi,82,92 mi
19/06/2023,-24,82 mi,45,34 mi,-92,58 mi,-40,01 mi,112,07 mi
16/06/2023,357,79 mi,1.700,40 mi,-1.806,16 mi,-329,92 mi,77,89 mi
15/06/2023,410,22 mi,-499,57 mi,-111,54 mi,80,70 mi,120,18 mi
14/06/2023,767,68 mi,-89,96 mi,-664,43 mi,-46,24 mi,32,96 mi
13/06/2023,1.618,65 mi,-1.638,32 mi,216,10 mi,-327,95 mi,131,52 mi
12/06/2023,1.639,71 mi,-1.894,63 mi,36,74 mi,11,32 mi,206,86 mi
09/06/2023,1.825,08 mi,-3.155,18 mi,-255,05 mi,100,06 mi,1.485,09 mi
07/06/2023,573,10 mi,-742,16 mi,79,99 mi,17,17 mi,71,90 mi
06/06/2023,549,12 mi,86,99 mi,-726,51 mi,-43,68 mi,134,07 mi
05/06/2023,-315,83 mi,-27,32 mi,200,86 mi,33,87 mi,108,42 mi
02/06/2023,79,22 mi,454,70 mi,-571,27 mi,-66,70 mi,104,06 mi
01/06/2023,176,11 mi,365,32 mi,-601,75 mi,-82,86 mi,143,18 mi
31/05/2023,-2.420,93 mi,2.039,83 mi,155,84 mi,134,45 mi,90,81 mi
30/05/2023,325,86 mi,-1.191,00 mi,718,43 mi,49,99 mi,96,72 mi
29/05/2023,24,60 mi,-564,12 mi,294,36 mi,7,16 mi,237,99 mi
26/05/2023,-63,43 mi,200,78 mi,-170,07 mi,-23,11 mi,55,83 mi
25/05/2023,0,00 mi,0,00 mi,0,00 mi,0,00 mi,0,00 mi
24/05/2023,0,00 mi,0,00 mi,0,00 mi,0,00 mi,0,00 mi
23/05/2023,-1.670,63 mi,643,97 mi,813,12 mi,7,04 mi,206,51 mi
22/05/2023,-410,16 mi,-76,43 mi,333,03 mi,76,30 mi,77,26 mi
19/05/2023,-117,63 mi,1.649,68 mi,-1.307,88 mi,-291,80 mi,67,63 mi
18/05/2023,-316,50 mi,518,41 mi,-338,67 mi,-8,13 mi,144,89 mi
17/05/2023,747,45 mi,-364,71 mi,-461,84 mi,-31,33 mi,110,42 mi
16/05/2023,185,11 mi,-560,95 mi,227,00 mi,-22,91 mi,171,75 mi
15/05/2023,303,28 mi,-441,97 mi,-51,39 mi,34,14 mi,155,94 mi
12/05/2023,392,92 mi,-380,45 mi,-228,00 mi,4,20 mi,211,33 mi
11/05/2023,-160,07 mi,-12,30 mi,-176,09 mi,101,42 mi,247,05 mi
10/05/2023,66,50 mi,-254,33 mi,-89,18 mi,1,59 mi,275,41 mi
09/05/2023,567,17 mi,-350,86 mi,-402,16 mi,-36,09 mi,221,94 mi
08/05/2023,319,46 mi,-188,10 mi,-277,41 mi,-57,43 mi,203,47 mi
05/05/2023,156,95 mi,820,73 mi,-1.036,24 mi,-132,71 mi,191,27 mi
04/05/2023,-527,99 mi,229,81 mi,41,40 mi,51,46 mi,205,32 mi
03/05/2023,-387,76 mi,133,50 mi,115,58 mi,-32,33 mi,171,00 mi
02/05/2023,-1.293,70 mi,183,09 mi,824,97 mi,111,70 mi,173,94 mi
28/04/2023,-239,70 mi,517,34 mi,-319,35 mi,-90,68 mi,132,40 mi
27/04/2023,-190,49 mi,-460,22 mi,641,22 mi,-72,36 mi,81,85 mi
26/04/2023,-482,40 mi,50,16 mi,330,93 mi,101,90 mi,-0,59 mi
25/04/2023,-728,45 mi,65,98 mi,474,09 mi,131,30 mi,57,08 mi
24/04/2023,954,21 mi,-1.260,84 mi,211,19 mi,81,84 mi,13,61 mi
20/04/2023,-1.045,03 mi,1.535,36 mi,-232,32 mi,-280,33 mi,22,33 mi
19/04/2023,-18,12 mi,-763,66 mi,628,85 mi,120,40 mi,32,53 mi
18/04/2023,147,86 mi,-360,21 mi,84,66 mi,35,24 mi,92,46 mi
17/04/2023,196,22 mi,-655,93 mi,249,53 mi,117,31 mi,92,87 mi
14/04/2023,1.128,24 mi,-2.020,39 mi,185,26 mi,619,02 mi,87,88 mi
13/04/2023,1.213,34 mi,-1.374,05 mi,78,42 mi,193,41 mi,-111,11 mi
12/04/2023,32,06 mi,407,00 mi,-476,69 mi,14,71 mi,22,92 mi
11/04/2023,1.083,86 mi,673,59 mi,-1.601,23 mi,-140,71 mi,-15,52 mi
10/04/2023,-41,91 mi,-503,27 mi,-138,98 mi,-21,64 mi,705,79 mi
06/04/2023,-362,82 mi,201,38 mi,26,94 mi,34,67 mi,99,83 mi
05/04/2023,-127,55 mi,-285,56 mi,260,62 mi,76,98 mi,75,52 mi
04/04/2023,158,84 mi,-372,20 mi,54,03 mi,59,50 mi,99,83 mi
03/04/2023,987,03 mi,-1.332,27 mi,107,50 mi,149,05 mi,88,69 mi
31/03/2023,1.107,28 mi,-1.810,26 mi,475,58 mi,114,11 mi,113,29 mi
30/03/2023,1.114,78 mi,-630,40 mi,-421,78 mi,-138,12 mi,75,53 mi
29/03/2023,-15,74 mi,-84,76 mi,100,84 mi,13,43 mi,-13,76 mi
28/03/2023,-184,86 mi,405,29 mi,-269,29 mi,10,76 mi,38,10 mi
27/03/2023,-892,68 mi,575,01 mi,54,06 mi,157,53 mi,106,08 mi
24/03/2023,262,56 mi,-327,81 mi,-120,89 mi,84,66 mi,101,47 mi
23/03/2023,-434,50 mi,-579,57 mi,807,89 mi,90,28 mi,115,90 mi
22/03/2023,-783,91 mi,435,57 mi,183,71 mi,110,77 mi,53,86 mi
21/03/2023,-47,02 mi,41,45 mi,-46,38 mi,32,51 mi,19,44 mi
20/03/2023,119,44 mi,-581,86 mi,322,74 mi,136,86 mi,2,81 mi
17/03/2023,-866,45 mi,1.111,62 mi,699,20 mi,-954,74 mi,10,38 mi
16/03/2023,-461,10 mi,486,31 mi,-82,56 mi,31,49 mi,25,86 mi
15/03/2023,-486,44 mi,107,39 mi,141,91 mi,100,51 mi,136,63 mi
14/03/2023,159,23 mi,-384,91 mi,249,08 mi,-40,44 mi,17,03 mi
13/03/2023,-190,81 mi,6,12 mi,49,43 mi,95,15 mi,40,12 mi
10/03/2023,-869,38 mi,196,67 mi,483,96 mi,109,78 mi,78,97 mi
09/03/2023,4,86 mi,-470,00 mi,243,42 mi,147,74 mi,73,98 mi
08/03/2023,260,29 mi,177,54 mi,-557,87 mi,66,90 mi,53,15 mi
07/03/2023,-363,28 mi,-75,80 mi,242,34 mi,12,66 mi,184,07 mi
06/03/2023,556,20 mi,-349,62 mi,-223,99 mi,76,49 mi,-59,09 mi
03/03/2023,353,50 mi,-136,72 mi,-188,04 mi,-29,64 mi,0,89 mi
02/03/2023,-296,96 mi,104,60 mi,144,13 mi,103,70 mi,-55,47 mi
01/03/2023,-423,21 mi,-82,04 mi,359,37 mi,93,46 mi,52,42 mi
28/02/2023,-364,98 mi,94,47 mi,224,51 mi,16,52 mi,29,48 mi
27/02/2023,-194,52 mi,75,11 mi,52,17 mi,-2,15 mi,69,39 mi
24/02/2023,-424,05 mi,-396,87 mi,555,53 mi,161,49 mi,103,91 mi
23/02/2023,501,08 mi,-156,73 mi,44,76 mi,-448,38 mi,59,27 mi
22/02/2023,-375,89 mi,-213,75 mi,418,21 mi,87,77 mi,83,66 mi
17/02/2023,-3.139,30 mi,2.666,54 mi,89,00 mi,315,46 mi,68,29 mi
16/02/2023,-504,69 mi,368,45 mi,38,67 mi,89,31 mi,8,27 mi
15/02/2023,276,19 mi,678,42 mi,-388,17 mi,-532,74 mi,-33,70 mi
14/02/2023,391,47 mi,-736,61 mi,168,18 mi,194,53 mi,-17,58 mi
13/02/2023,356,12 mi,-201,98 mi,-206,26 mi,59,04 mi,-6,91 mi
10/02/2023,282,29 mi,-533,69 mi,162,57 mi,92,11 mi,-3,28 mi
09/02/2023,268,43 mi,-848,16 mi,458,03 mi,77,58 mi,44,12 mi
08/02/2023,331,54 mi,118,20 mi,-409,19 mi,-34,78 mi,-5,77 mi
07/02/2023,-309,47 mi,-30,09 mi,249,72 mi,70,97 mi,18,88 mi
06/02/2023,105,61 mi,-290,46 mi,151,95 mi,23,57 mi,9,34 mi
03/02/2023,261,60 mi,-698,87 mi,417,74 mi,5,59 mi,13,94 mi
02/02/2023,466,64 mi,-901,09 mi,183,00 mi,210,86 mi,40,60 mi
01/02/2023,391,89 mi,158,60 mi,460,18 mi,29,11 mi,-1.039,78 mi
31/01/2023,1.355,06 mi,-892,44 mi,-386,27 mi,-100,89 mi,24,54 mi
30/01/2023,295,44 mi,-496,49 mi,137,45 mi,6,78 mi,56,82 mi
27/01/2023,976,07 mi,-1.438,32 mi,372,45 mi,48,81 mi,40,99 mi
26/01/2023,1.048,92 mi,-1.172,32 mi,42,26 mi,18,98 mi,62,15 mi
25/01/2023,741,88 mi,-422,71 mi,-294,39 mi,-65,17 mi,40,38 mi
24/01/2023,957,04 mi,-920,79 mi,-162,29 mi,54,40 mi,71,64 mi
23/01/2023,692,37 mi,-923,49 mi,165,74 mi,-3,27 mi,68,64 mi
20/01/2023,-1.336,99 mi,1.612,66 mi,-881,80 mi,587,83 mi,18,30 mi
19/01/2023,1.772,90 mi,-284,57 mi,-168,53 mi,-1.377,75 mi,57,94 mi
18/01/2023,1.082,22 mi,-32,12 mi,-193,15 mi,-879,57 mi,22,62 mi
17/01/2023,1.551,78 mi,-1.172,53 mi,-385,88 mi,-20,66 mi,27,29 mi
16/01/2023,429,66 mi,-843,71 mi,286,71 mi,31,99 mi,95,35 mi
13/01/2023,535,93 mi,-809,13 mi,237,55 mi,-31,28 mi,66,92 mi
12/01/2023,907,80 mi,-1.204,60 mi,38,36 mi,224,52 mi,33,92 mi
11/01/2023,689,73 mi,-614,36 mi,-155,35 mi,8,42 mi,71,56 mi
10/01/2023,945,89 mi,-504,06 mi,-467,43 mi,10,31 mi,15,29 mi
09/01/2023,400,39 mi,-307,22 mi,-151,94 mi,-6,80 mi,65,56 mi
06/01/2023,271,05 mi,-117,05 mi,-212,22 mi,-47,74 mi,105,95 mi
05/01/2023,-746,68 mi,1.597,26 mi,-538,35 mi,-395,77 mi,83,54 mi
04/01/2023,-206,94 mi,271,67 mi,-142,54 mi,-3,01 mi,80,81 mi
03/01/2023,535,60 mi,-884,68 mi,454,87 mi,-237,63 mi,131,84 mi
02/01/2023,-348,71 mi,-407,46 mi,612,31 mi,4,43 mi,139,44 mi
29/12/2022,124,86 mi,-575,59 mi,102,08 mi,8,81 mi,339,85 mi
28/12/2022,1.164,39 mi,-960,77 mi,-598,77 mi,50,22 mi,344,94 mi
27/12/2022,720,89 mi,-1.273,82 mi,133,29 mi,23,77 mi,395,86 mi
26/12/2022,447,05 mi,-694,01 mi,167,01 mi,-12,37 mi,92,33 mi
23/12/2022,1.367,28 mi,-1.001,22 mi,-525,72 mi,79,12 mi,80,55 mi
22/12/2022,904,84 mi,-1.794,50 mi,-4,11 mi,843,94 mi,49,83 mi
21/12/2022,2.507,47 mi,-3.242,52 mi,-67,26 mi,896,19 mi,-93,88 mi
20/12/2022,1.206,23 mi,-819,81 mi,-385,54 mi,-110,66 mi,109,78 mi
19/12/2022,172,93 mi,31,73 mi,-492,54 mi,148,99 mi,138,89 mi
16/12/2022,-86,46 mi,-1.449,60 mi,553,06 mi,776,89 mi,206,10 mi
15/12/2022,225,00 mi,-390,96 mi,88,84 mi,-12,29 mi,89,41 mi
14/12/2022,1.607,48 mi,-1.733,01 mi,-38,98 mi,1,41 mi,163,10 mi
13/12/2022,-479,96 mi,44,79 mi,209,78 mi,40,05 mi,185,35 mi
12/12/2022,-146,80 mi,-657,32 mi,332,63 mi,83,38 mi,388,11 mi
09/12/2022,732,56 mi,-566,79 mi,-311,04 mi,73,26 mi,72,01 mi
08/12/2022,354,50 mi,-963,74 mi,359,26 mi,116,79 mi,133,18 mi
07/12/2022,435,87 mi,-747,82 mi,35,28 mi,6,80 mi,269,88 mi
06/12/2022,690,26 mi,-861,02 mi,-113,62 mi,57,14 mi,227,25 mi
05/12/2022,-258,17 mi,-690,63 mi,768,30 mi,119,62 mi,60,87 mi
02/12/2022,1.227,99 mi,-688,04 mi,-417,21 mi,-93,14 mi,-29,60 mi
01/12/2022,849,28 mi,-1.496,86 mi,509,89 mi,81,27 mi,56,42 mi
30/11/2022,1.587,33 mi,-1.379,64 mi,-173,58 mi,-33,29 mi,-0,81 mi
29/11/2022,496,12 mi,408,00 mi,-848,60 mi,-20,55 mi,-34,98 mi
28/11/2022,559,13 mi,-648,07 mi,82,19 mi,-1,89 mi,8,64 mi
25/11/2022,-227,18 mi,-745,35 mi,769,10 mi,141,70 mi,61,73 mi
24/11/2022,-28,89 mi,1.018,59 mi,-874,39 mi,-72,97 mi,-42,34 mi
23/11/2022,103,39 mi,-210,00 mi,54,80 mi,12,32 mi,39,49 mi
22/11/2022,379,59 mi,-559,01 mi,-3,59 mi,146,38 mi,36,63 mi
21/11/2022,-380,99 mi,843,59 mi,-100,18 mi,-357,98 mi,-4,43 mi
18/11/2022,-1.215,75 mi,1.290,20 mi,315,78 mi,-331,37 mi,-58,87 mi
17/11/2022,-1.653,34 mi,957,67 mi,188,97 mi,475,86 mi,30,83 mi
16/11/2022,115,09 mi,-1.333,47 mi,737,77 mi,427,71 mi,52,89 mi
14/11/2022,193,18 mi,-115,80 mi,-103,55 mi,3,76 mi,22,42 mi
11/11/2022,2.202,71 mi,-698,30 mi,-883,94 mi,-512,98 mi,-107,49 mi
10/11/2022,-1.447,34 mi,556,09 mi,882,86 mi,-101,55 mi,109,95 mi
09/11/2022,-2.137,48 mi,421,82 mi,1.522,69 mi,102,49 mi,90,49 mi
08/11/2022,719,51 mi,-593,78 mi,-112,52 mi,-12,71 mi,-0,51 mi
07/11/2022,723,31 mi,-1.234,49 mi,389,00 mi,107,86 mi,14,32 mi
04/11/2022,1.889,93 mi,-1.601,65 mi,-175,91 mi,-65,40 mi,-46,98 mi
03/11/2022,497,66 mi,-1.016,32 mi,474,99 mi,37,45 mi,6,21 mi
01/11/2022,546,85 mi,218,66 mi,-661,15 mi,-81,85 mi,-22,52 mi
31/10/2022,1.898,91 mi,-1.499,93 mi,-362,42 mi,-12,52 mi,-24,04 mi
28/10/2022,498,74 mi,-693,36 mi,2,58 mi,110,89 mi,81,16 mi
27/10/2022,1.140,93 mi,-715,15 mi,-394,16 mi,13,81 mi,-45,43 mi
26/10/2022,1.073,14 mi,-1.550,56 mi,281,44 mi,190,40 mi,5,58 mi
25/10/2022,746,60 mi,-1.169,03 mi,353,37 mi,46,58 mi,22,48 mi
24/10/2022,245,33 mi,-2.116,81 mi,1.726,39 mi,85,07 mi,60,02 mi
21/10/2022,3.904,83 mi,-1.031,89 mi,-2.870,76 mi,221,70 mi,-223,88 mi
20/10/2022,524,44 mi,-169,01 mi,-360,07 mi,25,02 mi,-20,39 mi
19/10/2022,921,68 mi,-706,25 mi,-264,30 mi,57,24 mi,-8,38 mi
18/10/2022,1.412,39 mi,-957,77 mi,-481,92 mi,78,49 mi,-51,19 mi
17/10/2022,346,86 mi,-128,74 mi,-289,02 mi,37,34 mi,33,56 mi
14/10/2022,-812,43 mi,-246,03 mi,1.033,41 mi,-2,15 mi,27,21 mi
13/10/2022,755,68 mi,-951,49 mi,138,37 mi,24,84 mi,32,60 mi
11/10/2022,207,89 mi,-553,04 mi,249,04 mi,-16,34 mi,112,45 mi
10/10/2022,80,05 mi,-724,63 mi,476,01 mi,56,91 mi,111,67 mi
07/10/2022,-1.160,87 mi,496,69 mi,251,14 mi,310,79 mi,102,25 mi
06/10/2022,-1.985,31 mi,179,37 mi,-448,92 mi,2.170,92 mi,83,93 mi
05/10/2022,576,87 mi,-301,79 mi,-652,74 mi,-18,62 mi,396,29 mi
04/10/2022,1.315,09 mi,-1.641,78 mi,-345,34 mi,31,30 mi,640,74 mi
03/10/2022,2.380,79 mi,218,39 mi,-3.079,66 mi,-43,21 mi,523,69 mi
30/09/2022,245,15 mi,215,38 mi,-893,99 mi,-39,29 mi,472,74 mi
29/09/2022,188,73 mi,-1.337,72 mi,328,92 mi,56,77 mi,763,30 mi
28/09/2022,685,33 mi,-763,54 mi,-191,85 mi,-48,40 mi,318,45 mi
27/09/2022,1.063,87 mi,-1.435,41 mi,150,24 mi,3,38 mi,217,91 mi
26/09/2022,748,85 mi,-1.981,02 mi,630,82 mi,10,67 mi,590,68 mi
23/09/2022,-2.054,92 mi,-539,19 mi,1.269,22 mi,55,46 mi,1.269,44 mi
22/09/2022,-104,71 mi,411,17 mi,-393,99 mi,-31,03 mi,118,56 mi
21/09/2022,-905,70 mi,-286,69 mi,77,17 mi,17,46 mi,1.097,77 mi
20/09/2022,-44,63 mi,-718,37 mi,224,96 mi,-33,36 mi,571,39 mi
19/09/2022,549,77 mi,-12,20 mi,-734,32 mi,54,35 mi,142,39 mi
16/09/2022,1.442,61 mi,-1.732,85 mi,-227,06 mi,-59,77 mi,577,08 mi
15/09/2022,-176,26 mi,-647,91 mi,430,38 mi,47,93 mi,345,86 mi
14/09/2022,-500,12 mi,100,26 mi,290,58 mi,21,88 mi,87,40 mi
13/09/2022,-634,27 mi,-355,80 mi,910,59 mi,23,35 mi,56,13 mi
12/09/2022,356,48 mi,-25,41 mi,-296,22 mi,-19,97 mi,-14,88 mi
09/09/2022,484,99 mi,402,68 mi,-958,62 mi,3,32 mi,67,63 mi
08/09/2022,451,51 mi,-638,61 mi,102,06 mi,15,15 mi,69,89 mi
06/09/2022,-854,42 mi,-449,38 mi,1.160,93 mi,46,38 mi,96,48 mi
05/09/2022,32,80 mi,119,28 mi,-130,02 mi,-7,03 mi,-15,03 mi
02/09/2022,-164,78 mi,-130,17 mi,242,16 mi,10,38 mi,42,42 mi
01/09/2022,-901,82 mi,580,02 mi,265,13 mi,-23,25 mi,79,91 mi
31/08/2022,-850,14 mi,379,05 mi,385,36 mi,13,71 mi,72,02 mi
30/08/2022,-733,45 mi,-617,53 mi,1.227,87 mi,5,45 mi,117,66 mi
29/08/2022,22,98 mi,59,49 mi,-177,29 mi,16,24 mi,78,57 mi
26/08/2022,-46,14 mi,-707,56 mi,493,21 mi,25,38 mi,235,11 mi
25/08/2022,329,35 mi,-119,10 mi,-174,53 mi,35,30 mi,-71,02 mi
24/08/2022,-158,36 mi,-126,21 mi,67,29 mi,54,88 mi,162,40 mi
23/08/2022,265,92 mi,354,52 mi,-657,99 mi,5,11 mi,32,44 mi
22/08/2022,437,78 mi,-505,07 mi,-89,29 mi,89,87 mi,66,71 mi
19/08/2022,2.781,18 mi,-2.501,78 mi,-737,72 mi,432,73 mi,25,59 mi
18/08/2022,1.357,51 mi,-1.441,92 mi,64,47 mi,-4,53 mi,24,47 mi
17/08/2022,1.100,64 mi,-1.017,64 mi,-115,12 mi,21,48 mi,10,64 mi
16/08/2022,899,35 mi,-896,25 mi,-40,59 mi,33,54 mi,3,96 mi
15/08/2022,941,49 mi,-694,49 mi,-271,29 mi,-5,96 mi,30,26 mi
12/08/2022,2.612,69 mi,-790,74 mi,-1.807,60 mi,88,52 mi,-102,87 mi
11/08/2022,1.642,52 mi,-1.724,77 mi,291,37 mi,-231,83 mi,22,70 mi
10/08/2022,1.047,34 mi,-1.055,49 mi,-79,03 mi,61,75 mi,25,43 mi
09/08/2022,1.446,66 mi,-1.065,30 mi,198,60 mi,-637,84 mi,57,88 mi
08/08/2022,832,54 mi,-567,20 mi,-242,18 mi,-33,29 mi,10,13 mi
05/08/2022,949,85 mi,-988,82 mi,30,20 mi,-25,19 mi,33,96 mi
04/08/2022,1.072,31 mi,-418,12 mi,-784,72 mi,105,25 mi,25,27 mi
03/08/2022,3,77 mi,107,69 mi,-97,61 mi,-59,55 mi,45,70 mi
02/08/2022,527,94 mi,-432,95 mi,-294,59 mi,165,36 mi,34,23 mi
01/08/2022,-90,20 mi,-472,51 mi,525,64 mi,-47,26 mi,84,34 mi
29/07/2022,358,71 mi,-1.095,72 mi,180,43 mi,500,90 mi,55,69 mi
28/07/2022,-55,93 mi,91,90 mi,-62,51 mi,-70,66 mi,97,20 mi
27/07/2022,1.096,37 mi,-657,84 mi,-435,81 mi,-13,07 mi,10,35 mi
26/07/2022,44,61 mi,-590,25 mi,459,19 mi,32,98 mi,53,47 mi
25/07/2022,682,83 mi,-572,58 mi,-149,32 mi,38,48 mi,0,59 mi
